"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","1SQPTEGYPH0GA","level change","Base",-0.0609673718689218,-0.353174565825,0.19293690725
"vegetarian","2HRX9P6HKXA8V","level change","Base",-0.0565347909080873,-0.228448132925,0.12000470835
"vegetarian","78AY09MVJVTYE","level change","Base",-0.107059491222483,-0.3199137275,0.0565237131125001
"vegetarian","9XKJD8DQTH559","level change","Base",-0.196128768604503,-0.47171947975,0.0605914548500002
"vegetarian","C0BE4NDSW26QN","level change","Base",-0.042034936915591,-0.32871801225,0.24628154425
"vegetarian","ED5J990H5VAZT","level change","Base",-0.00170806483091767,-0.085752150275,0.084002672975
"vegetarian","EMBVNVD207CC6","level change","Base",0.048303573483539,-0.279787743825,0.39050032025
"vegetarian","L69HYJ4Y3TR91","level change","Base",-0.0381668786849413,-0.24420147375,0.180427714
"vegetarian","LBZEEFSBJNB3Z","level change","Base",0.0737577486470767,-0.10222214625,0.27790528915
"vegetarian","LQ5EH4BKGV61T","level change","Base",0.0320812298727667,-0.228932543725,0.37756181626
"vegetarian","S8MT0YGD2KTN9","level change","Base",-0.0262432077249187,-0.2058095655,0.210034712075
"vegetarian","SAFK7ND1HR6XS","level change","Base",-0.105783849073635,-0.28441968,0.058168133275
"vegetarian","SRQS8F7JWA9MZ","level change","Base",-0.000444109960677,-0.12044449915,0.11565106075
"vegetarian","V3Q26BHF3SE2H","level change","Base",-0.109046523903226,-0.35828055275,0.10122434597
"vegetarian","W8T41JZK0ZMEP","level change","Base",-0.0791541191528303,-0.3198386995,0.12867479575
"vegetarian","pooled","level change","Base",-0.0227069127095416,-0.123256344375,0.0834579969000001
"vegetarian","1SQPTEGYPH0GA","slope change","Base",-0.056632421339954,-0.31507009695,0.2080675225
"vegetarian","2HRX9P6HKXA8V","slope change","Base",0.0240769680663523,-0.078435341695,0.13259614075
"vegetarian","78AY09MVJVTYE","slope change","Base",-0.0761192771485333,-0.17258124525,0.0183876423
"vegetarian","9XKJD8DQTH559","slope change","Base",-0.0172069108465533,-0.33706167475,0.306135922775
"vegetarian","C0BE4NDSW26QN","slope change","Base",-0.006038156046641,-0.233470998475,0.20266950275
"vegetarian","ED5J990H5VAZT","slope change","Base",-0.1547435103753,-0.286020583,-0.028342040375
"vegetarian","EMBVNVD207CC6","slope change","Base",0.0902649595795,-0.20943770275,0.400301637
"vegetarian","L69HYJ4Y3TR91","slope change","Base",-0.0722702868320479,-0.4583478865,0.301071573025
"vegetarian","LBZEEFSBJNB3Z","slope change","Base",0.183860773903071,-0.067527029975,0.46790134275
"vegetarian","LQ5EH4BKGV61T","slope change","Base",0.00470209537331333,-0.389518816175,0.4092078585
"vegetarian","S8MT0YGD2KTN9","slope change","Base",-0.0317328989667633,-0.17163624385,0.1185563500475
"vegetarian","SAFK7ND1HR6XS","slope change","Base",-0.108578993558342,-0.53298495575,0.265876352125
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",0.0775158234557733,-0.167644316325,0.3868178995
"vegetarian","V3Q26BHF3SE2H","slope change","Base",-0.060065775284803,-0.44644527525,0.25716429375
"vegetarian","W8T41JZK0ZMEP","slope change","Base",0.0347393638206501,-0.28946103525,0.4191220281575
"vegetarian","pooled","slope change","Base",-0.015698365762685,-0.151447419995,0.118428580075
"vegetarian","1SQPTEGYPH0GA","gender x level","Female",0.1693062122981,-0.2054602435,0.553693448
"vegetarian","2HRX9P6HKXA8V","gender x level","Female",0.156738090363773,-0.064382175,0.376467943475
"vegetarian","78AY09MVJVTYE","gender x level","Female",-0.182962075035678,-0.4510237672025,0.0749015296000001
"vegetarian","9XKJD8DQTH559","gender x level","Female",0.66462907622694,0.02867138075,1.530111363125
"vegetarian","C0BE4NDSW26QN","gender x level","Female",-0.0366201918660333,-0.6160290395,0.510552469975
"vegetarian","ED5J990H5VAZT","gender x level","Female",0.0659122977679667,0.00297827365,0.13159919175
"vegetarian","EMBVNVD207CC6","gender x level","Female",-0.12271675670723,-0.4775546625,0.2263790217
"vegetarian","L69HYJ4Y3TR91","gender x level","Female",0.0160693957891827,-0.22383814975,0.25882691455
"vegetarian","LBZEEFSBJNB3Z","gender x level","Female",0.0847074091870333,-0.09397277475,0.2613695065
"vegetarian","LQ5EH4BKGV61T","gender x level","Female",0.126629200708896,-0.46390510905,0.76265216725
"vegetarian","S8MT0YGD2KTN9","gender x level","Female",0.223688785375088,-0.00375566375,0.46182921725
"vegetarian","SAFK7ND1HR6XS","gender x level","Female",0.0655341590989533,-0.157989231575,0.28747607395
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",-0.022749188225598,-0.22279329825,0.1757479937075
"vegetarian","V3Q26BHF3SE2H","gender x level","Female",0.19421932860849,-0.1315662847,0.571478074075
"vegetarian","W8T41JZK0ZMEP","gender x level","Female",0.0265473986658857,-0.2810046452,0.344046303
