"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured_t2","1SQPTEGYPH0GA","level change","Base",-0.0712406019394,-0.476355592,0.16418483675
"untextured_t2","9XKJD8DQTH559","level change","Base",-0.0924668136040367,-0.28398362375,0.10869302022
"untextured_t2","C0BE4NDSW26QN","level change","Base",-0.0884893573604,-0.3230451515,0.138794631275
"untextured_t2","LQ5EH4BKGV61T","level change","Base",-0.249244207549,-0.57651439275,0.0621498500000001
"untextured_t2","S8MT0YGD2KTN9","level change","Base",-0.0697588598084,-0.352557294,0.221708120805
"untextured_t2","SRQS8F7JWA9MZ","level change","Base",0.0326201512520333,-0.3264147985,0.438971633
"untextured_t2","pooled","level change","Base",-0.0640136337718333,-0.2036053965,0.03419673865
"untextured_t2","1SQPTEGYPH0GA","slope change","Base",-0.201808470387433,-0.5772988005,0.15299795058
"untextured_t2","9XKJD8DQTH559","slope change","Base",-0.0407895157637667,-0.3548637345,0.3284363815
"untextured_t2","C0BE4NDSW26QN","slope change","Base",0.0216171234102033,-0.108990891325,0.179541371675
"untextured_t2","LQ5EH4BKGV61T","slope change","Base",-0.0150455151867333,-0.43528431925,0.54959006025
"untextured_t2","S8MT0YGD2KTN9","slope change","Base",0.135910720530967,-0.030910171375,0.30022397425
"untextured_t2","SRQS8F7JWA9MZ","slope change","Base",0.102607658224733,-0.1825348139,0.4634131835
"untextured_t2","pooled","slope change","Base",-0.06554773392653,-0.22988162975,0.104373221975
"untextured_t2","1SQPTEGYPH0GA","gender x level","Female",0.419829936119667,-0.02239913225,0.79569035135
"untextured_t2","9XKJD8DQTH559","gender x level","Female",0.457922484845667,-0.2177094937,1.36503337235
"untextured_t2","C0BE4NDSW26QN","gender x level","Female",-0.0432772933855,-0.6742362922,0.5315896225
"untextured_t2","LQ5EH4BKGV61T","gender x level","Female",-0.3552403506397,-1.48819741,0.495297970485
"untextured_t2","S8MT0YGD2KTN9","gender x level","Female",0.1726929105078,-0.174348109025,0.63314265125
"untextured_t2","SRQS8F7JWA9MZ","gender x level","Female",0.032018416603,-0.3000893775,0.3499483395
"untextured_t2","pooled","gender x level","Female",-0.02338735051978,-0.18724553125,0.1423794992
"untextured_t2","1SQPTEGYPH0GA","gender x level","Male",-0.1045314993463,-0.50660683825,0.40307233225
"untextured_t2","9XKJD8DQTH559","gender x level","Male",-0.133520487408333,-0.482893939575,0.187452177825
"untextured_t2","C0BE4NDSW26QN","gender x level","Male",-0.160546780293333,-0.5173437964,0.179226906
"untextured_t2","LQ5EH4BKGV61T","gender x level","Male",-0.1722132534644,-0.8727398185,0.66348991925
"untextured_t2","S8MT0YGD2KTN9","gender x level","Male",-0.292842267792067,-0.6950184315,0.04447635
"untextured_t2","SRQS8F7JWA9MZ","gender x level","Male",-0.186303846371967,-0.59196556575,0.14306540775
"untextured_t2","pooled","gender x level","Male",-0.201225801759867,-0.40803770725,0.1073601639
"textured_t2","SAFK7ND1HR6XS","level change","Base",-0.06087160143402,-0.2924573575,0.20163372975
"textured_t2","pooled","level change","Base",-0.0554135215341333,-0.273825375,0.19617930175
"textured_t2","SAFK7ND1HR6XS","slope change","Base",-0.09880601933498,-1.38318261,1.31655208
"textured_t2","pooled","slope change","Base",-0.0977033096147433,-1.34432741,1.3034095475
"textured_t2","SAFK7ND1HR6XS","gender x level","Female",0.0790366604067,-0.1290660175,0.2857259
"textured_t2","pooled","gender x level","Female",0.122559940212353,-0.044929815,0.2907242575
"textured_t2","SAFK7ND1HR6XS","gender x level","Male",0.0713714085724667,-0.108766265,0.2323392075
"textured_t2","pooled","gender x level","Male",0.0918544773344667,-0.0237246975,0.2115516825
"dairy_t2","9XKJD8DQTH559","level change","Base",-0.155547650072618,-0.3985043495,0.10764055175
"dairy_t2","EMBVNVD207CC6","level change","Base",0.33948504562154,-0.2228905198,0.94442690075
"dairy_t2","W8T41JZK0ZMEP","level change","Base",-0.0442964243613995,-0.29567270725,0.15923860925
"dairy_t2","pooled","level change","Base",0.09454991407095,-0.5707658225,0.821948801
"dairy_t2","9XKJD8DQTH559","slope change","Base",-0.0533107947552557,-0.59055439775,0.784855163250001
"dairy_t2","EMBVNVD207CC6","slope change","Base",-0.372240795708036,-0.82652971925,0.01212676585
"dairy_t2","W8T41JZK0ZMEP","slope change","Base",-0.0575996478524546,-0.847056215,0.7325502835
"dairy_t2","pooled","slope change","Base",-0.182463406776731,-0.6980500245,0.2213556885
"dairy_t2","9XKJD8DQTH559","gender x level","Female",0.491089673607729,-0.127714163,1.36332432125
"dairy_t2","EMBVNVD207CC6","gender x level","Female",0.00442423266482567,-0.29708529525,0.3065926786
"dairy_t2","W8T41JZK0ZMEP","gender x level","Female",-0.00664309327387933,-0.32791436925,0.315233791
"dairy_t2","pooled","gender x level","Female",0.0317218453088153,-0.22888538775,0.3661709325
"dairy_t2","9XKJD8DQTH559","gender x level","Male",-0.0545138916613187,-0.434780512855,0.28890773025
