outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,1.0020636860658672,0.9582569831347841,1.0447733873082363,1.0020636860658672,1.000206177210686,1.00339872863888,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9802091801379438,1.0244054547526298
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9852639970021801,0.9112910599220699,1.0695167294446801,0.8620374493059894,0.9852639970021801,1.03252746942009,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9458347106211489,1.0263369835002185
meat,Exposure: Vegetarian,Form: Count,0.9856009661349147,0.948532762339916,1.0225222186911218,0.9856009661349147,0.9985506806838383,1.00164047837956,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9668956033417399,1.004668199016251
meat,Exposure: Vegetarian,Form: Proportion,0.9013480966553797,0.8280727332627489,0.9820765599597665,0.35393658795600214,0.9013480966553797,0.999939242075121,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8629693825120824,0.9414336218734863
chicken_fish,Exposure: Vegetarian,Form: Count,0.9784060151694454,0.9341083017066336,1.0219638798199304,0.9784060151694454,0.9978193264645525,1.00137997375096,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9562255865828138,1.001100936799549
chicken_fish,Exposure: Vegetarian,Form: Proportion,0.8321075253984342,0.7439968533881436,0.9393842923691972,0.15914554906929992,0.8321075253984342,1.00540853581113,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7840517094121404,0.8831087612114893
vegetarian,Exposure: Vegetarian,Form: Count,1.004108077634174,0.9598618839558364,1.04955640890995,1.004108077634174,1.0004100502998492,1.04278265808056,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9814840742845355,1.027253582596498
vegetarian,Exposure: Vegetarian,Form: Proportion,1.036235639483428,0.9522685526517206,1.1302983569241551,1.4275300200440608,1.036235639483428,1.01601935396981,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9919056134050429,1.0825468532731763
vegan,Exposure: Vegetarian,Form: Count,1.0148098306115896,0.9576708239985854,1.0637209454160335,1.0148098306115896,1.001471204755089,1.01591069401392,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9879821326250067,1.0423660087553461
vegan,Exposure: Vegetarian,Form: Proportion,0.986280389918943,0.9017501379213102,1.0858361132073078,0.8709715755722356,0.986280389918943,1.00386486160666,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9406309390825822,1.034145239244847
nonvegan,Exposure: Vegetarian,Form: Count,0.9976447352189004,0.9840617352477306,1.0115030756467678,0.9976447352189004,0.9997642235216436,1.00114680957858,Restaurant,1SQPTEGYPH0GA,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.990669417156099,1.004669166599661
nonvegan,Exposure: Vegetarian,Form: Count,0.9994786842238407,0.9184980074215399,1.0893990505148476,0.9994786842238407,0.9999478561886885,1.00097970458054,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9569037067942123,1.0439479261340676
nonvegan,Exposure: Vegetarian,Form: Count,0.9976549649384407,0.9752919966519553,1.0210844823623129,0.9976549649384407,0.9997652486621632,1.00397723368404,Restaurant,78AY09MVJVTYE,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9860454781047636,1.0094011393666904
nonvegan,Exposure: Vegetarian,Form: Count,0.9986381294243433,0.9867425575788595,1.0105274623410678,0.9986381294243433,0.9998637294092605,1.00011675566245,Restaurant,9XKJD8DQTH559,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9925886433012515,1.0047244850830686
nonvegan,Exposure: Vegetarian,Form: Count,0.9950517851441665,0.9646090208605798,1.0257713876744716,0.9950517851441665,0.9995040732316679,0.999866230509,Restaurant,C0BE4NDSW26QN,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9795681299168764,1.0107801845315365
nonvegan,Exposure: Vegetarian,Form: Count,0.9985002529204486,0.9836164784282734,1.0122024362186877,0.9985002529204486,0.9998499239799428,1.00044122896259,Restaurant,CB2KHY1C2G9PT,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.991229699792775,1.005824134699184
nonvegan,Exposure: Vegetarian,Form: Count,0.9968184041261244,0.9694942223783635,1.0258172329712911,0.9968184041261244,0.999681383977769,1.00111236090047,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9825614705440071,1.0112822053305315
nonvegan,Exposure: Vegetarian,Form: Count,1.0331366172789074,0.9358405032831157,1.1432072409848313,1.0331366172789074,1.003265262826829,1.00331176826173,Restaurant,EMBVNVD207CC6,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9817106147665094,1.0872565233659695
