outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegan,Form: Count,1.0064526587223792,0.8852847943861101,1.136181576165437,1.0064526587223792,1.0006433998374304,1.00398620412241,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9443854464095831,1.0725990728684183
nonvegan,Exposure: Vegan,Form: Proportion,0.9885829677999834,0.8961824754554127,1.081675419183202,0.8915203023970059,0.9885829677999834,1.00273386236915,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9422608696944286,1.0371822874711505
meat,Exposure: Vegan,Form: Count,1.0036377307500577,0.8706041293700127,1.1568591812069164,1.0036377307500577,1.0003631789545167,1.03774088429,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9334308263732631,1.0791251650631986
meat,Exposure: Vegan,Form: Proportion,0.9660780762781185,0.8613778871872025,1.087373282388626,0.708145118037218,0.9660780762781185,1.00333658072244,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9103318589801458,1.025238038478433
chicken_fish,Exposure: Vegan,Form: Count,0.9514028305525398,0.8496182570971765,1.059560972985018,0.9514028305525398,0.9950306164609962,1.00316881478204,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8992896877490849,1.0065358897298284
chicken_fish,Exposure: Vegan,Form: Proportion,0.9110211306455396,0.7917001676858375,1.0471783648400075,0.39380797172338283,0.9110211306455396,1.00278823757493,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.848288883600085,0.978392522321383
vegetarian,Exposure: Vegan,Form: Count,0.9853000959407429,0.8851111983625071,1.0847853260595544,0.9853000959407429,0.9985201941658657,1.00211710872981,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9354730678907748,1.03778111031005
vegetarian,Exposure: Vegan,Form: Proportion,0.9878100454810212,0.9041799628078966,1.0813155588626446,0.8845744352259078,0.9878100454810212,1.00214940861979,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.94374057805177,1.033937406789867
vegan,Exposure: Vegan,Form: Count,1.0244672403757569,0.9155823429650082,1.1543475668103078,1.0244672403757569,1.002420195153385,1.0050888444834,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9656612722481043,1.0868543212463693
vegan,Exposure: Vegan,Form: Proportion,1.0315142474569976,0.9128490279728416,1.1657764051703707,1.3638050964041313,1.0315142474569976,1.00467684333929,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9691237460957924,1.097921340791915
nonvegan,Exposure: Vegan,Form: Count,0.9884160466240536,0.947736971688451,1.031095754926979,0.9884160466240536,0.9988355215268655,1.0005685678707,Restaurant,1SQPTEGYPH0GA,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9673868993554322,1.0099023274709156
nonvegan,Exposure: Vegan,Form: Count,0.9961001534910098,0.8865631339180948,1.121436146267914,0.9961001534910098,0.9996093292577893,1.00070809623826,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9381365300705539,1.0576451123912554
nonvegan,Exposure: Vegan,Form: Count,0.9937438808700123,0.9658389947144151,1.0224205336239987,0.9937438808700123,0.9993726198205335,1.00081088172333,Restaurant,78AY09MVJVTYE,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9794158173760336,1.0082815523770998
nonvegan,Exposure: Vegan,Form: Count,0.9958283132721603,0.9743219428722888,1.016787841464923,0.9958283132721603,0.9995820461181881,1.00111511642985,Restaurant,9XKJD8DQTH559,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9850493183149595,1.0067252583970605
