outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0038156571549046,0.9338926501112139,1.082655010949764,1.0038156571549046,1.0003809121286074,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9666698340004819,1.0423888675405077
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9977864031271207,0.8501473656006149,1.158708669870916,0.9780832352022506,0.9977864031271207,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9220011187896139,1.0798009741813908
meat,Exposure: Alt-Protein-Modifiable,Form: Count,1.006924364818519,0.9404965948657711,1.0760839159771824,1.006924364818519,1.0006902882893776,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9729179336391652,1.042119423858016
meat,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0263552301584222,0.8820432970538383,1.165893612524043,1.2971105676925176,1.0263552301584222,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9558444784097688,1.1020674202419305
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Count,1.0248494068919864,0.9601661984153979,1.0960238125256319,1.0248494068919864,1.002457583087836,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9908283569971503,1.0600386024376542
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0205964294121426,0.893595662626145,1.1654291059425061,1.22614108849631,1.0205964294121426,NA,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9537385753807587,1.0921410736825574
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Count,1.007334155385726,0.9317848334705549,1.087640666857124,1.007334155385726,1.0007310061798795,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9683634891140763,1.0478731509538939
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0102733865717326,0.8693943160791211,1.1885821953208613,1.1076157586963764,1.0102733865717326,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9328093404331973,1.0941703426137712
vegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0203295343382384,0.9408177903789429,1.121646786577542,1.0203295343382384,1.002014591367842,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9755808463150425,1.0671307893909745
vegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.03011270233669,0.8604901064844075,1.2304860011438306,1.3453876134847746,1.03011270233669,NA,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9402850680671259,1.1285217808432169
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9982576880907185,0.9323832918405697,1.0699288310774528,0.9982576880907185,0.9998256320538578,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9638238339110358,1.03392173628714
