outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,1.002680430447199,0.9582569831347841,1.0447733873082363,1.002680430447199,1.0002677202806793,NA,Pooled,POOLED,0.9797124032681659,1.0240732989281078,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9797124032681659,1.0240732989281078
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9850562233951905,0.9112910599220699,1.0695167294446801,0.8602212989296585,0.9850562233951905,NA,Pooled,POOLED,0.9462894610663316,1.025924686430708,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9462894610663316,1.025924686430708
meat,Exposure: Vegetarian,Form: Count,0.9863331407518053,0.948532762339916,1.0225222186911218,0.9863331407518053,0.9986248353566409,NA,Pooled,POOLED,0.9676698810919274,1.0032010338818806,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9676698810919274,1.0032010338818806
meat,Exposure: Vegetarian,Form: Proportion,0.9003641165782293,0.8280727332627489,0.9820765599597665,0.3500916733281542,0.9003641165782293,NA,Pooled,POOLED,0.8637680487114655,0.9408313408228318,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8637680487114655,0.9408313408228318
chicken_fish,Exposure: Vegetarian,Form: Count,0.9785607977043281,0.9341083017066336,1.0219638798199304,0.9785607977043281,0.9978351107104142,NA,Pooled,POOLED,0.9575782001761516,0.9999157948654513,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9575782001761516,0.9999157948654513
chicken_fish,Exposure: Vegetarian,Form: Proportion,0.8313694899786463,0.7439968533881436,0.9393842923691972,0.1577396326259068,0.8313694899786463,NA,Pooled,POOLED,0.7858302434919612,0.880452618134093,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7858302434919612,0.880452618134093
vegetarian,Exposure: Vegetarian,Form: Count,1.0052189751512206,0.9598618839558364,1.04955640890995,1.0052189751512206,1.0005206758546388,NA,Pooled,POOLED,0.9827324650662818,1.0261639166863035,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9827324650662818,1.0261639166863035
vegetarian,Exposure: Vegetarian,Form: Proportion,1.0370807727450193,0.9522685526517206,1.1302983569241551,1.4392154950083071,1.0370807727450193,NA,Pooled,POOLED,0.9919789515082753,1.0817014819926383,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9919789515082753,1.0817014819926383
vegan,Exposure: Vegetarian,Form: Count,1.0157495851823108,0.9576708239985854,1.0637209454160335,1.0157495851823108,1.001563906378071,NA,Pooled,POOLED,0.9880513876453934,1.042942286671736,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9880513876453934,1.042942286671736
vegan,Exposure: Vegetarian,Form: Proportion,0.9855114943372477,0.9017501379213102,1.0858361132073078,0.8642053282279613,0.9855114943372477,NA,Pooled,POOLED,0.9399834832529119,1.0347401818349622,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9399834832529119,1.0347401818349622
nonvegan,Exposure: Vegetarian,Form: Count,0.9975820763978474,0.9840617352477306,1.0115030756467678,0.9975820763978474,0.9997579441502455,NA,Restaurant,1SQPTEGYPH0GA,0.9903231909336151,1.0046417479307916,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9903231909336151,1.0046417479307916
nonvegan,Exposure: Vegetarian,Form: Count,0.9999723860702716,0.9184980074215399,1.0893990505148476,0.9999723860702716,0.9999972385727127,NA,Restaurant,2HRX9P6HKXA8V,0.9581080876679142,1.043876172218778,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9581080876679142,1.043876172218778
