outcome,effect_type,mean,q2.5,q16,q84,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,0.7650380595288787,0.622988598858362,0.6985453944929436,0.8488299741173645,1.0465962225268122,0.7650380595288787,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6985453944929436,0.8488299741173645
Breakfast-style meat,Slope change,0.5992832931455423,0.34074058734758556,0.45810492864627994,0.7960458150727621,1.0866313634356592,0.5992832931455423,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.45810492864627994,0.7960458150727621
Dairy,Level change,0.7821205585830532,0.23607281629659832,0.48324349528632404,1.3042990282523848,2.419178661754824,0.7821205585830532,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.48324349528632404,1.3042990282523848
Dairy,Slope change,0.711667758118068,0.2753398614390374,0.46534615613975583,1.0993496464734676,1.6966945882707143,0.711667758118068,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.46534615613975583,1.0993496464734676
Ground meat,Level change,1.674844983449591,0.4478787423592676,0.8501702199144449,3.0646782932129484,5.426266297735603,1.674844983449591,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.8501702199144449,3.0646782932129484
Ground meat,Slope change,0.7597289427456991,0.4105471437447526,0.5671828817545159,0.9897731778408817,1.2957257793641972,0.7597289427456991,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5671828817545159,0.9897731778408817
Breakfast-style meat,Level change,0.750141981951286,0.560753879327799,0.6451429549258111,0.873274329795792,1.0442884052762755,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6451429549258111,0.873274329795792
Breakfast-style meat,Level change,0.7199496836266134,0.5382080344114677,0.6249875196531937,0.8312133457522003,0.9593871011352048,NA,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6249875196531937,0.8312133457522003
Breakfast-style meat,Level change,16.484289431313655,5.072988662696981,8.97868356461706,30.821350693537052,58.99944287119302,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,8.97868356461706,30.821350693537052
Breakfast-style meat,Level change,12.94638774628845,2.242156926827143,5.368921644094892,31.643316914700534,82.90366467000558,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,5.368921644094892,31.643316914700534
Breakfast-style meat,Level change,0.7358180203158389,0.4064866241319925,0.5362336340820193,1.015443711949954,1.441009434232831,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5362336340820193,1.015443711949954
Breakfast-style meat,Level change,0.660558763804539,0.32721761528731524,0.4481302575714772,0.983097474428446,1.43059887198358,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4481302575714772,0.983097474428446
Breakfast-style meat,Level change,0.9020008801632894,0.7813248327880538,0.8408156929548511,0.966254624754606,1.0297750334402256,NA,NA,NA,Restaurant,78AY09MVJVTYE,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8408156929548511,0.966254624754606
Breakfast-style meat,Slope change,0.3200337758798606,0.10323122436715461,0.18684595801682008,0.551111216593448,0.9638479182197767,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.18684595801682008,0.551111216593448
Breakfast-style meat,Slope change,0.7025987292417554,0.43380903587236613,0.5531431352858249,0.8891018317746464,1.102680496130405,NA,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5531431352858249,0.8891018317746464
Breakfast-style meat,Slope change,0.8062065571469764,0.010061655248209418,0.15674701528725918,4.139957612258893,24.591571271820055,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.15674701528725918,4.139957612258893
Breakfast-style meat,Slope change,1.208459743730123,0.02509175095868558,0.23407976838037098,5.355096091519178,61.63223020053161,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.23407976838037098,5.355096091519178
Breakfast-style meat,Slope change,16.528597385899577,1.0852736145398836,2.37574109212001,115.80971221757004,782.7839113380553,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,2.37574109212001,115.80971221757004
Breakfast-style meat,Slope change,0.253401013573395,0.0033055009542670537,0.049445693976331986,1.2101125724938067,4.098308676809397,NA,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.049445693976331986,1.2101125724938067
Breakfast-style meat,Slope change,0.7985245951654556,0.6367954851370956,0.7100023046259513,0.8989071483713731,1.0176878599639667,NA,NA,NA,Restaurant,78AY09MVJVTYE,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7100023046259513,0.8989071483713731
