outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,mpba-modifiable,count,-0.009050986612975,-0.2843793775,0.198358105,0.9909898502687982,0.9990953108169471,1.02172248153063,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1321983035772607,0.11409633035131071
meat,mpba-modifiable,count,-0.010872940965275,-0.1624127125,0.15050694925,0.9891859558037066,0.9989132967935221,1.02193288153117,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.09069938528925459,0.0689535033587046
chicken_fish,mpba-modifiable,count,-0.0237736923271525,-0.1805002775,0.1335218975,0.9765066757071207,0.9976254544714134,1.00768572338554,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.10388139003123412,0.05633400537692912
vegetarian,mpba-modifiable,count,0.0239863713614475,-0.2797333,0.27437985,1.0242763583032315,1.0024015161676574,1.06608340023127,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.11736902404671577,0.16534176676961077
vegan,mpba-modifiable,count,0.00872529863905,-0.170586042,0.20123935475,1.0087634750098522,1.0008729106288217,1.00976359991991,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0861281188992153,0.1035787161773153
nonvegan,mpba-modifiable,count,-4.856309301175986,NA,-1.4416634344319215,1.007809477576389,1.0007782167980412,1.00145994979798,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,mpba-modifiable,count,NA,NA,-3.9039542703993284,0.9977256419400213,0.9997723310864514,1.00051753582691,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,mpba-modifiable,count,-6.534771531223071,NA,-3.203685225957234,1.0014531154910558,1.0001452166169522,1.00216613461077,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,mpba-modifiable,count,NA,NA,-1.8506792769412146,0.9795529885037563,0.9979362379355843,1.00715646816109,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,mpba-modifiable,count,-4.958719907810501,NA,-2.3223111282234727,1.0070466221970713,1.00070243767137,1.00257042287047,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,mpba-modifiable,count,-5.546864363577445,NA,-3.4466774189763023,1.0039072796183155,1.0003900426495755,1.00047282565876,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,-2.599470654287107,NA,-1.2603868805479919,1.0771437964741097,1.0074589710664557,1.0077159350856,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.700622747464149,0.9968888654224063,0.9996884501199488,1.00100015973338,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.205353477802457,0.9992670678308831,0.9999266825983308,1.00022160790297,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,NA,NA,-2.162367925988474,0.9428713447915497,0.994134724535536,1.00529691349106,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.127865786524837,0.944147399834827,0.9942691860096596,1.00562808285876,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,mpba-modifiable,count,NA,NA,-4.323147648534405,0.9838508207670051,0.9983732248020917,1.00189130576359,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
chicken_fish,mpba-modifiable,count,-5.147586219392675,NA,-1.9255138009873742,1.0058303508450905,1.0005815110245924,1.00451461746586,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
chicken_fish,mpba-modifiable,count,NA,NA,-3.6315660022929968,0.9847996470146523,0.9984694662087761,1.00726044385407,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
chicken_fish,mpba-modifiable,count,-3.4838700850832947,NA,-2.679414166713004,1.0311641576583193,1.003073555128803,1.00085203378269,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
chicken_fish,mpba-modifiable,count,NA,NA,-2.0647957172774185,0.9783181676965809,0.9978103670502927,1.00766484040018,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
chicken_fish,mpba-modifiable,count,-4.390044195022852,NA,-3.262453304962635,1.0124773822009072,1.001240787258554,1.00057782700639,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
vegetarian,mpba-modifiable,count,NA,NA,-1.8953656745884315,0.9108219782345518,0.9907027081455698,1.00219328983484,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegetarian,mpba-modifiable,count,-6.86816168586204,NA,-3.8167137574424372,1.0010409292586684,1.0001040441989697,1.00776680739006,Restaurant,ED5J990H5VAZT,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegetarian,mpba-modifiable,count,NA,NA,-3.1936436627389124,0.9972262193597151,0.9997222751028683,1.00100310569389,Restaurant,JHDN7CF1C03X5,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegetarian,mpba-modifiable,count,-3.002938079967073,NA,-1.3724131031279985,1.0508937626840011,1.0049764420256653,1.00339414990148,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegetarian,mpba-modifiable,count,-1.6717443652905206,-2.497213772695058,-1.213477750211049,1.2067357419305729,1.0189695769679292,1.00312312239288,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-1.999228044495625,-1.3442606860854163
vegetarian,mpba-modifiable,count,NA,NA,-3.6544430811473276,0.9981285497703642,0.9998126971853131,1.00294665865271,Restaurant,W8T41JZK0ZMEP,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,-3.588117342756036,NA,-1.3369451246890551,1.0280361559379898,1.0027688599876152,1.00549676097757,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,-4.047898835529813,NA,-3.112692472833097,1.0176123199504459,1.0017474270143203,1.00076307738673,Restaurant,ED5J990H5VAZT,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,NA,NA,-3.1714812173684765,0.9924321879952303,0.9992406291487835,1.00102474458355,Restaurant,JHDN7CF1C03X5,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,-3.2828796604209227,NA,-1.2266208118797948,1.0382328197439536,1.0037590531915532,1.0045537040151,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,NA,NA,-2.3751930714702185,0.9594614109487628,0.995870232817313,1.00114866435568,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
vegan,mpba-modifiable,count,NA,NA,-4.087689411943798,0.989104248638158,0.9989050454220223,1.0003391045865,Restaurant,W8T41JZK0ZMEP,NA,Plant-based,NA,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,NA,NA
