outcome,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,-0.0939278292986565,-0.452051627,-0.21191370828,0.03090271428,0.2387126155,0.9142546096168277,0.9910754443839075,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.21191370828,0.03090271428
Breakfast-style meat,Form: Presence,-0.368284359528595,-1.666711382,-1.0177085304,0.2937756532,1.103891074,0.6628245362693688,0.9597096410588816,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.0177085304,0.2937756532
Chicken,Form: Count,0.0508115661001235,-0.4072016535,-0.08250347984,0.1907339292,0.52791827375,1.045500243197389,1.0044594611840838,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08250347984,0.1907339292
Chicken,Form: Presence,-0.007574536437576,-1.54050411875,-0.71788149744,0.7100316656,1.5197815775,0.9908237412067915,0.9990785627842327,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.71788149744,0.7100316656
Dairy,Form: Count,0.006794056250451,-0.13929674005,-0.05433964884,0.07404139784,0.162899105725,1.0049850753472254,1.0004973927587753,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05433964884,0.07404139784
Dairy,Form: Presence,-0.024800352622705,-1.5443894275,-0.76125027008,0.7355466612,1.5062940995,0.9553772312036174,0.995445502324501,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.76125027008,0.7355466612
Egg,Form: Count,0.023283886133692,-0.5844365335,-0.12616678248,0.17269028352,0.585488526000001,1.030854793840484,1.0030434574411853,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12616678248,0.17269028352
Egg,Form: Presence,-0.151712485888883,-1.67363599925,-0.8561767772,0.5724160556,1.39486294575,0.8479170681208285,0.9836380898016945,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8561767772,0.5724160556
Breakfast-style meat,Form: Count,-3.32553707273386,NA,-0.08113573544,0.1551477014,-1.2743369992186029,1.0362767801886044,1.0035697836043003,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.2743369992186029
Breakfast-style meat,Form: Count,NA,NA,-0.135929862,-0.00607111010400001,-2.8426983247530635,0.9311881463696677,0.9928959606850777,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.8426983247530635
Breakfast-style meat,Form: Count,NA,NA,-0.2945043072,-0.03941415744,-2.1825013415706334,0.8532422565314196,0.9842541067998524,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.1825013415706334
Breakfast-style meat,Form: Presence,-0.02576918262965148,NA,-0.5359656832,2.5025197128,1.5003190703290854,2.1895129569315657,1.0815204903893847,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,1.5003190703290854
Breakfast-style meat,Form: Presence,NA,NA,-0.9388083472,-0.4793935816,NA,0.4948048507776675,0.9320589795684981,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Presence,NA,NA,-1.98927319556,0.21248017048,0.35433881240713594,0.43394629360196113,0.9199063109947018,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,0.21248017048
Chicken,Form: Count,-2.700026787077618,-4.037381311758618,0.04211539428,0.09201540272,-2.146958659833739,1.0695021095477049,1.0067419474925692,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.04211539428,-2.146958659833739
Chicken,Form: Count,-2.5860415711187845,NA,0.03541361432,0.11571363056,-1.816488418316089,1.0756472140544502,1.0073189072321904,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.816488418316089
