outcome,effect_type,mean,q2.5,q16,q84,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.224727579316917,-0.69762411725,-0.392098644,-0.0629726781333333,0.290879823333333,0.7967244850353296,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.392098644,-0.0629726781333333
Breakfast-style meat,Slope change,-0.884057823914022,-1.81626668333333,-1.30948890133333,-0.445473797333333,0.13534975,0.40576071434381267,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.30948890133333,-0.445473797333333
Ground meat,Level change,0.0202325662171883,-0.7174504175,-0.1824411,0.218925868,0.843150467499996,1.0009567574006375,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1824411,0.218925868
Ground meat,Slope change,-0.793991770253,-1.896593825,-1.33926768,-0.19796828,0.49066647,0.42508207969948375,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.33926768,-0.19796828
Breakfast-style meat,Level change,-0.170474018949533,-0.414721439,-0.298301152,-0.0443492056,0.0872065324999999,0.841491850407562,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.298301152,-0.0443492056
Breakfast-style meat,Level change,-0.20183976619735,-0.521896975,-0.359932224,-0.040510612,0.145177367499999,0.8104308574164869,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.359932224,-0.040510612
Breakfast-style meat,Level change,-0.329983897400067,-0.7064187675,-0.498470656,-0.165646944,-0.0311944074,0.7308155329378027,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.498470656,-0.165646944
Breakfast-style meat,Slope change,-1.24531310520667,-1.85874055,-1.55202256,-0.93829604,-0.6268146,0.28757401741543676,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.55202256,-0.93829604
Breakfast-style meat,Slope change,-1.07141013097277,-2.54100765,-1.7430382,-0.397454988,0.352111775,0.34420672752520226,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.7430382,-0.397454988
Breakfast-style meat,Slope change,-0.4726558153468,-1.094023525,-0.78867852,-0.15209724,0.142837525,0.6215710837962767,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.78867852,-0.15209724
Ground meat,Level change,0.0166448820565833,-0.14619548499999999,-0.067737344,0.10148016,0.201747745,1.01263777012375,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.067737344,0.10148016
Ground meat,Level change,-0.00678286035526,-0.15961904,-0.0857702584,0.074176336,0.1589218275,0.9900626302259663,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0857702584,0.074176336
Ground meat,Slope change,0.459676061690167,-0.870645775,-0.11826384,1.02393936,1.557302425,1.6756598030791283,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.11826384,1.02393936
Ground meat,Slope change,-0.475106970335558,-1.5219403,-1.03841476,0.0972039599999999,0.839579674999997,0.5865367224357682,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.03841476,0.0972039599999999
Whole-muscle meat,Level change,0.152837295030918,0.056481755,0.1047913,0.200869964,0.2517756,1.1646629711342362,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.1047913,0.200869964
Whole-muscle meat,Slope change,-0.927664088797417,-1.8092365,-1.37673616,-0.473033,0.0417589349999999,0.3892196273333617,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.37673616,-0.473033
