outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,0.00206155959086,-0.042639287365,0.04380000765,1.0020636860658672,1.000206177210686,1.00339872863888,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01998928097419102,0.024112400155911023
nonvegan,Exposure: Vegetarian,Form: Proportion,-0.148456564591615,-0.92892937775,0.672068917225,0.8620374493059894,0.9852639970021801,1.03252746942009,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5568744969831967,0.25996136779996665
meat,Exposure: Vegetarian,Form: Count,-0.01450370595284,-0.05283894899125,0.02227233847,0.9856009661349147,0.9985506806838383,1.00164047837956,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.03366474867254664,0.004657336766866634
meat,Exposure: Vegetarian,Form: Proportion,-1.03863751196186,-1.8865428634999999,-0.180860103675,0.35393658795600214,0.9013480966553797,0.999939242075121,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4737606649784416,-0.6035143589452785
chicken_fish,Exposure: Vegetarian,Form: Count,-0.021830546662573,-0.0681628927575,0.021726148515,0.9784060151694454,0.9978193264645525,1.00137997375096,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.044761424538210755,0.0011003312130647563
chicken_fish,Exposure: Vegetarian,Form: Proportion,-1.8379360925361,-2.95718473475,-0.625306264475,0.15914554906929992,0.8321075253984342,1.00540853581113,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.432803049238906,-1.2430691358332937
vegetarian,Exposure: Vegetarian,Form: Count,0.004099662522,-0.04096587575,0.0483676072,1.004108077634174,1.0004100502998492,1.04278265808056,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.018689491291775513,0.02688881633577551
vegetarian,Exposure: Vegetarian,Form: Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.4275300200440608,1.036235639483428,1.01601935396981,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.08127324001275715,0.7931646242729572
vegan,Exposure: Vegetarian,Form: Count,0.0147012359365,-0.043251167575,0.061773087175,1.0148098306115896,1.001471204755089,1.01591069401392,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.012090665785438772,0.041493137658438775
vegan,Exposure: Vegetarian,Form: Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.8709715755722356,0.986280389918943,1.00386486160666,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.612044170899914,0.33575229708478
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-4.470864991575409,0.9976447352189004,0.9997642235216436,1.00114680957858,Restaurant,1SQPTEGYPH0GA,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-2.457763799726601,0.9994786842238407,0.9999478561886885,1.00097970458054,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-3.8696687223019186,0.9976549649384407,0.9997652486621632,1.00397723368404,Restaurant,78AY09MVJVTYE,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-4.559008762025871,0.9986381294243433,0.9998637294092605,1.00011675566245,Restaurant,9XKJD8DQTH559,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-3.671239835415513,0.9950517851441665,0.9995040732316679,0.999866230509,Restaurant,C0BE4NDSW26QN,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-4.412190079715047,0.9985002529204486,0.9998499239799428,1.00044122896259,Restaurant,CB2KHY1C2G9PT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-3.669484934592211,0.9968184041261244,0.999681383977769,1.00111236090047,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-3.4234603427538874,NA,-2.0111275448161248,1.0331366172789074,1.003265262826829,1.00331176826173,Restaurant,EMBVNVD207CC6,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-4.306435623637587,0.9949897468472853,0.9994978414685466,1.00024105810254,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-3.1244720386690252,0.9934587026319311,0.9993439367625184,1.00178894315104,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-4.359729778014998,NA,-2.725962843590393,1.012863878003431,1.0012790013372022,1.00212876337868,Restaurant,LBZEEFSBJNB3Z,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,NA,NA,-2.0000104883517626,0.9931761149538869,0.9993155069509511,1.00049584056498,Restaurant,LFZFT3VASXPED,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-7.040441329260632,NA,-1.99533327716291,1.0008761235595043,1.0000875778334426,1.00217409822637,Restaurant,LQ5EH4BKGV61T,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-5.282079469549749,NA,-3.3310430719058246,1.0050947867528746,1.0005083143720503,1.00111606924232,Restaurant,S8MT0YGD2KTN9,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-5.424210387767738,NA,-1.8011960728173735,1.004418277763683,1.0004409517736181,1.00102020959533,Restaurant,SAFK7ND1HR6XS,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-8.214905528044627,NA,-3.4490493033187817,1.0002706266857961,1.0000270593733982,0.999553266312974,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-8.045042496890668,NA,-2.960408477181284,1.0003207392248292,1.000032069294109,1.00065298994686,Restaurant,V3Q26BHF3SE2H,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-5.050704362464683,NA,-3.837623327431854,1.0064253752646586,1.0006406872066174,1.00163779818325,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.101863170057405,NA,0.29640583435939516,1.1300122614638763,1.0122978526399153,1.0157134399852,Restaurant,1SQPTEGYPH0GA,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.5685612337212076,0.9629119441460123,0.9962278016366066,1.00958648903703,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.44755773105836494,0.9801885128840325,0.9980009641658835,1.01081962274136,Restaurant,78AY09MVJVTYE,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.12768216135180796,0.8023176318634064,0.9782157108937708,1.01780328020944,Restaurant,9XKJD8DQTH559,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.18225190978532466,0.8833730843767775,0.9876758077877311,1.01197849810247,Restaurant,C0BE4NDSW26QN,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.792131901642028,NA,-0.10173793596339781,1.0632076348581219,1.006147861944238,1.00470582171003,Restaurant,CB2KHY1C2G9PT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.12331913964030622,0.7330001596091933,0.9694164989756364,1.00884986941718,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.1953413905788782,0.6605082711987078,0.9593737383843293,1.01466330449523,Restaurant,EMBVNVD207CC6,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.13659558819461948,0.7452381639994392,0.971022981748339,1.00581162921682,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.5148433260304698,0.5437874408023969,0.9408988057533186,1.00530208796305,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.16445517002421,NA,0.27758057676691034,1.0431418280124114,1.0042326472158631,1.01587158622441,Restaurant,LBZEEFSBJNB3Z,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.8039492080940428,0.5557622098319689,0.9429505133295315,1.01774863868938,Restaurant,LFZFT3VASXPED,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.604031104456821,NA,0.8060878012939169,1.027587476837309,1.0027250862529675,1.00088135660848,Restaurant,LQ5EH4BKGV61T,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.149932618872914,NA,0.11675910735400609,1.1235485297638446,1.0117173168682234,1.00395837295875,Restaurant,S8MT0YGD2KTN9,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.9195672109494453,0.8355594549399424,0.9821950380560946,1.03416725814205,Restaurant,SAFK7ND1HR6XS,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.7907928004827585,0.9868833899490981,0.9986805320167007,1.0034787648215,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.3850116657532476,NA,-0.16275552336624996,1.0344576163028636,1.0033934695388083,1.00513885297622,Restaurant,V3Q26BHF3SE2H,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-1.0169691803959873,0.3367295913099477,0.8968671730009214,1.00771355994412,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
