outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Level change,-0.060284653473385,-0.5545449947,0.43574528192500006,0.9414964951894931,1.0010635614579506,1279.602847921161,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.31290972404098705,0.19234041709421704
Nonvegan,Slope change,-0.010742575678252667,-0.5306722626,0.5118417292500004,0.9893149197207798,1.0003885903690584,1582.7839629191985,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.27669002257876296,0.25520487122225766
Meat,Level change,-0.2064447481042231,-0.622442468225,0.18600080694999999,0.8134712060416066,1.699216258503741,696.7479379323132,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.41268027748560066,-2.0921872284554444e-4
Meat,Slope change,-0.16620187785466267,-0.67659721065,0.38566382547500005,0.8468752515722241,1.2525908999218869,20.111373835968013,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.43718683604981573,0.10478308034049039
Chicken & fish,Level change,-0.15007460127152167,-0.5965465059999999,0.2675286248500002,0.8606437689106186,1.1334984264490693,18.846220354607738,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3705019305699911,0.07035272802694775
Chicken & fish,Slope change,0.196906321684964,-0.33599825575,0.7133568798575004,1.2176299698390967,1.0379691460461928,50.96904071518885,Pooled,POOLED,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07078631494960244,0.46459895831953046
Nonvegan,Level change,-0.025397721297571667,-0.3168776913,0.2750064174500001,NA,1.000560359378672,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.17638856536644926,0.1255931227713059
Nonvegan,Level change,-0.019297655937645333,-0.2922141905499999,0.24446031908500013,NA,1.0004176981675126,NA,Restaurant,ED5J990H5VAZT,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.15620441859963513,0.11760910672434448
Nonvegan,Level change,0.2027034314057,-0.10054202224999999,0.49932674725000004,NA,0.9998040279202535,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.04967568408427142,0.35573117872712856
Nonvegan,Level change,-0.7290982430138379,-1.1530289814999999,-0.30508331332499994,NA,1.0011161212778923,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.945410913466644,-0.5127855725610317
Nonvegan,Level change,-0.004941671720486,-0.358461947975,0.36345785932500013,NA,1.0018486797193218,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.18910488786844523,0.1792215444274732
Nonvegan,Level change,-0.032852357211228665,-0.412276793,0.36369213862500005,NA,1.0001061106968048,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.23080361527883073,0.16509890085637338
Nonvegan,Level change,-0.104492628848574,-0.43829214907499997,0.24174827617499997,NA,1.0003278753564897,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.27797232916745157,0.06898707147030354
Nonvegan,Level change,-0.4457471852066667,-1.316413522,0.42088265,NA,1.0021702376003638,NA,Restaurant,EMBVNVD207CC6,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8889349841862585,-0.0025593862270748557
Nonvegan,Level change,-0.07543813701042666,-1.23790207125,0.9895019634250001,NA,0.9998305412008945,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.643653451978539,0.4927771779576856
