outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,0.413625834559927,-0.14540036130628647,0.8677875659337135,1.5122911739183693,1.042229932375281,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.15515952659053928,0.6720921425293147
Chicken,Form: Count,0.0528778604401933,-0.095095341325,0.20274414305,1.0543008654113624,1.005301791058936,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.023101599859551597,0.1288573207399382
Dairy,Form: Count,0.0637193541205933,-0.037784495425,0.1897774495,1.065793246302642,1.0063922793797022,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.005667837558093303,0.12177087068309331
Egg,Form: Count,0.0282665302720267,-0.046728961975,0.10115792055,1.0286698195339752,1.0028306517776764,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.009459715270065134,0.06599277581411854
Ground meat,Form: Count,0.18430967329126,0.004671351625,0.59704421695,1.2023881129335208,1.018601865935078,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.033194146422637544,0.3354252001598824
Breakfast-style meat,Form: Count,NA,NA,NA,0.7930249527608402,0.9770767637397458,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,NA,0.8074015790848299,0.9788338043555568,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-1.3330863163737665,NA,-0.4789615922587887,1.3016884886384126,1.02671688995908,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-3.1567097423279282,NA,-1.0908430971471008,1.0434844676846204,1.0042656282627465,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,-2.6888132116901566,0.978173988742354,0.9977956609146341,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,-1.5548394112653545,0.9055625974168233,0.990129152409959,1.00366605655876,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-0.47593437071003375,-0.8298935643058525,-0.18034406332362954,1.8613541429231089,1.0641011217760008,1.01075255647695,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6416357740218254,-0.31023296739824213
Breakfast-style meat,Form: Count,-0.1645994031634402,-0.8081181737165226,0.25852517381116363,2.335517363821908,1.0885247548115529,1.01051798804652,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4367022979409112,0.10750349161403075
Breakfast-style meat,Form: Count,-0.256270730335658,NA,1.2763288095128298,2.1682760687284057,1.0804668771099621,1.01993526702703,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-0.44615935558008835,-0.8565288939133979,-0.1443461475559823,1.8966359482426358,1.0661011155239573,1.00112556708626,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6278386276100413,-0.2644800835501354
Chicken,Form: Count,-2.3289889626460987,-3.6375365509569213,-1.7449259322915567,1.1022947756411754,1.0097869991148816,1.00100780003826,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.8117977939382834,-1.846180131353914
Chicken,Form: Count,-2.6811792157675742,-3.582641833225389,-2.209829992809134,1.0708817248497482,1.00687173788759,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.031386317914578,-2.3309721136205703
Chicken,Form: Count,-2.5033440230001944,NA,-0.882951886404586,1.0852506378549351,1.0082146529105083,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
