outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Level change,-0.065536129626675,-0.551281789139385,0.420209529886035,0.9365652083970116,1.00106356145795,1279.60284792116,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3133655477454046,0.18229328849205456
Nonvegan,Slope change,-0.00650852873658564,-0.516079382920036,0.503062325446865,0.993512605860004,1.00038859036906,1582.7839629192,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.26649365842201955,0.2534766009488483
Meat,Level change,-0.211696224257513,-0.620132663263125,0.196740214748099,0.8092104787474392,1.69921625850374,696.747937932313,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4200821625256824,-0.003310285989343603
Meat,Slope change,-0.161967830912996,-0.69996575405449,0.376030092228499,0.8504685628973779,1.25259089992189,20.111373835968,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4364565672096769,0.11252090538368492
Chicken & fish,Level change,-0.155326077424812,-0.593407443981153,0.28275528913153,0.85613596535283,1.13349842644907,18.8462203546077,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.37883697872906785,0.06818482387944386
Chicken & fish,Slope change,0.20114036862663,-0.304644563479632,0.706925300732893,1.2227964020288982,1.03796914604619,50.9690407151888,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0569131681622794,0.4591939054155394
Vegetarian,Level change,-0.0548544671791783,-0.514938380371035,0.405229446012678,0.9466229026306017,1.22097268383495,11.7787782839776,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2895911575831867,0.1798822232248301
Vegetarian,Slope change,-0.111858631992703,-0.464347724394641,0.240630460409236,0.894170655689595,1.01304501188119,33.1571399804258,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2917000056671614,0.0679827416817554
Vegan,Level change,0.0172704507707216,-0.486910006510304,0.521450908051747,1.0174204472637984,1.04002359987779,15.3156264336368,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.23996447641347513,0.2745053779549183
Vegan,Slope change,-0.118764941639703,-0.471254034041641,0.233724150762236,0.8880165119365483,1.09873305935545,43.1107127184188,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2986063153141614,0.06107643203475541
Nonvegan,Level change,-0.043797059590305,-0.456016155269875,0.368422036089265,NA,1.00041769816751,NA,Restaurant,ED5J990H5VAZT,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2541129247329428,0.16651880555233275
Nonvegan,Slope change,0.390579782455631,0.0922113682354526,0.688948196675809,NA,1.00016790920275,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.238350999690234,0.542808565221028
Nonvegan,Level change,-0.073990366063245,-0.512857755700024,0.364877023573534,NA,1.00056035937867,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2979022995513976,0.14992156742490756
Nonvegan,Slope change,0.48858104161563,-0.542445607364802,1.51960769059606,NA,1.00087237465095,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.03745296296622258,1.0146150461974826
Meat,Level change,-0.101478662430657,-0.522912846227457,0.319955521366143,NA,1.65822117395425,NA,Restaurant,ED5J990H5VAZT,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.31649610314331006,0.11353877828199609
Meat,Slope change,0.375653970629297,0.102812369344027,0.648495571914568,NA,1.67581496176827,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.2364490720143631,0.5148588692442309
Meat,Level change,-0.240733223995835,-0.662501964398019,0.181035516406348,NA,1.6711183005503,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.45592135685409185,-0.025545091137578108
Meat,Slope change,-0.261490206642103,-1.2356285581766,0.712648144892396,NA,1.33462388637372,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7584995696699082,0.23551915638570214
Chicken & fish,Level change,-0.236971230177711,-0.685161699913803,0.21121923955838,NA,1.0088915382774,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.46563983718592095,-0.008302623169501006
Chicken & fish,Slope change,0.0520787363434974,-0.491717222945489,0.595874695632484,NA,1.04211501681338,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.22536818166108752,0.32952565434808234
Chicken & fish,Level change,-0.372115338352245,-0.898648474233429,0.154417797528938,NA,1.01697154189077,NA,Restaurant,ED5J990H5VAZT,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6407546933936651,-0.10347598331082486
Chicken & fish,Slope change,0.982692475188964,0.458133912944053,1.50725103743388,NA,1.02473886247667,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.715060555676253,1.250324394701675
Chicken & fish,Level change,-0.299206618992111,-0.677779941831299,0.0793667038470758,NA,1.02073195218763,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4923562735019005,-0.10605696448232149
Chicken & fish,Slope change,0.244289995755631,0.0337666019208379,0.454813389590423,NA,1.04603581350216,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.13688010094196135,0.3516998905693007
Chicken & fish,Level change,-0.292998693621045,-0.910862841311793,0.324865454069703,NA,1.0123472858801,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.608235503667345,0.022238116425255028
Chicken & fish,Slope change,0.154625914381297,-1.21081218057577,1.52006400933836,NA,1.0132725330368,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5420261748825117,0.8512780036451058
Chicken & fish,Level change,-0.161467148527935,-0.534434960203133,0.211500663147262,NA,1.0038023420159,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.35175684836221943,0.02882255130634942
Chicken & fish,Slope change,0.12418818938663,-0.759000043214169,1.00737642198743,NA,1.02120850538335,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3264180517362269,0.5747944305094869
Vegetarian,Level change,-0.356002308272578,-0.779046232164272,0.0670416156191155,NA,1.00882375668218,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5718410449520136,-0.1401635715931424
Vegetarian,Slope change,-0.132141920127703,-0.691812020837125,0.42752818058172,NA,1.01074736124152,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.41768788987740835,0.15340404962200235
Vegetarian,Level change,0.00124814529892166,-0.394897691705566,0.397393982303409,NA,0.99946993223916,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.20086707766255152,0.20336336826039486
Vegetarian,Slope change,0.0751156229222973,-0.200589881409826,0.350821127254421,NA,1.01630270556275,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.06555045071654121,0.21578169656113583
Vegetarian,Level change,-0.209849412887468,-0.582961925364503,0.163263099589567,NA,1.00446051554269,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.40021293966146543,-0.019485886113470574
Vegetarian,Slope change,-0.323490792669703,-0.463683944454586,-0.18329764088482,NA,1.032762091423,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3950179109272964,-0.2519636744121096
Vegetarian,Level change,0.194307614380222,-0.262605417729809,0.651220646490252,NA,1.00576917583366,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.038811279553467054,0.42742650831391105
Vegetarian,Slope change,-0.298220181979703,-1.1512772349916,0.554836871032191,NA,1.01673307790907,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.7334533722918946,0.13701300833248858
Vegetarian,Level change,-0.145303302204878,-0.517354044641984,0.226747440232228,NA,1.00183643228784,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3351251095707484,0.04451850516099243
Vegetarian,Slope change,-0.0742429793047026,-0.72820306494601,0.579717106336605,NA,1.00195812984344,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.407896084223737,0.25941012561433185
Vegetarian,Level change,0.158850492181222,-0.22030874044469,0.538009724807133,NA,1.0032165819471,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.034598095893222686,0.3522990802556667
Vegetarian,Level change,0.0309054954222217,-0.35018792870137,0.411998919545814,NA,1.00810964925066,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.16352992504899871,0.22534091589344213
Vegetarian,Slope change,1.3743426785373,0.647048299179217,2.10163705789538,NA,1.01001177823017,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,1.0032741176403197,1.7454112394342804
Vegetarian,Slope change,-0.129335478695703,-0.857977266206367,0.599306308814962,NA,1.00492497105522,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5010914927317563,0.24242053534035035
Vegan,Level change,-0.277917903674578,-0.699979779810827,0.144143972461671,NA,1.00004099893528,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.49325559558082754,-0.06258021176832854
Vegan,Slope change,-0.164722451877703,-0.688431940637575,0.35898703688217,NA,1.08689478108715,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.43192117063274,0.10247626687733397
Vegan,Level change,0.374735110919922,-0.109925790047176,0.859396011887019,NA,1.00170041548938,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.12745914103874983,0.6220110808010941
Vegan,Slope change,-0.0152521978357026,-0.354770173901173,0.324265778229768,NA,1.06851128764513,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.18847565501196306,0.1579712593405579
Vegan,Level change,-0.225284614283778,-0.602661079908189,0.152091851340632,NA,1.00283296743086,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.4178236273574568,-0.03274560121009917
Vegan,Slope change,-0.331675751329303,-0.476316744699305,-0.187034757959301,NA,1.15105621784606,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.40547217651807954,-0.25787932614052644
Vegan,Level change,0.0722707704302217,-0.428227439803934,0.572768980664378,NA,1.00072890171787,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.18308545928108236,0.3276270001415258
Vegan,Slope change,-0.368199022562703,-1.34288005828006,0.606482013154651,NA,1.13573210991496,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.8654852652756395,0.1290872201502335
Vegan,Level change,-0.00356848928077834,-0.380195376356996,0.37305839779544,NA,1.00569617583264,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.19572506431966508,0.18858808575810837
Vegan,Slope change,-0.101940014346403,-0.668755943457718,0.464875914764913,NA,1.16921942590989,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3911318149134007,0.18725178622059474
Vegan,Level change,0.00637379401022166,-0.39664170805102,0.409389296071463,NA,0.999198535755967,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.19924636010265664,0.2119939481231
Vegan,Level change,-0.111711050182778,-0.510543599715808,0.287121499350251,NA,0.999290110166852,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3151970448424869,0.09177494447693094
Vegan,Slope change,1.2075370727563,0.284751804258434,2.13032234125416,NA,1.00123085194338,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.7367282622982065,1.6783458832143934
Vegan,Slope change,0.0438814587392973,-0.842317869097948,0.930080786576543,NA,1.00098719802366,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.408261055463379,0.49602397294197365
