outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.342285181385835,-0.774682438222237,0.0901120754505665,0.7101456555067367,1.0014864120806,2781.87391545128,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5628960267105299,-0.12167433606114023
Breakfast-style meat,Slope change,-0.27699439513884,-0.916475511426844,0.362486721149164,0.7580587459126233,1.00229380825252,2606.65160547935,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6032602707959849,0.04927148051830493
Chicken,Level change,0.744584023204389,-0.793822000214913,2.28299004662369,2.1055653864430255,1.01359567793817,193.770182941458,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.040317009152397554,1.5294850555611754
Chicken,Slope change,-0.41061261692657,-1.64961985417121,0.828394620318069,0.6632438112681399,1.00489722787976,273.753822087718,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.042759166541182,0.22153393268804206
Dairy,Level change,0.349197271159055,-0.856920410495221,1.55531495281333,1.4179288792272666,1.03478837522252,101.909620991679,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2661688929502693,0.9645634352683794
Dairy,Slope change,-0.37173739668337,-1.28347387487993,0.539999081513195,0.6895352930058303,1.07430866183758,36.1851602620564,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8369090692326366,0.09343427586589653
Ground meat,Level change,0.300066226840279,-0.953933934705451,1.55406638838601,1.3499482074199536,1.01262387316355,246.012674664336,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.33972977394835907,0.939862227628917
Ground meat,Slope change,-0.302909238870976,-0.949163159306868,0.343344681564917,0.7386661355005928,1.01482366400901,373.064785122919,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6326306268484722,0.02681214910652019
Breakfast-style meat,Level change,-0.310732070839561,-0.726679387853643,0.10521524617452,NA,1.0005830287617,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5229500897242965,-0.09851405195482554
Breakfast-style meat,Slope change,-0.592114770046327,-1.1108927861122,-0.0733367539804504,NA,1.00788525830749,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8567974313044264,-0.32743210878822754
Breakfast-style meat,Level change,-0.35507076922494,-0.787054577742418,0.0769130392925378,NA,1.00069667596235,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5754706715297757,-0.13467086692010435
Breakfast-style meat,Slope change,0.0887399852261533,-0.334670978339789,0.512150948792096,NA,1.00032247756743,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1272860165932051,0.3047659870455117
Breakfast-style meat,Level change,-0.335126096067592,-0.783488105871342,0.113235913736157,NA,1.00027930250524,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5638822235184846,-0.10636996861669942
Breakfast-style meat,Slope change,-0.488219305580073,-1.57000824812845,0.593569636968304,NA,1.00198721204057,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.0401524395333266,0.06371382837318063
Whole-muscle meat,Level change,0.0553034608138066,-0.309133143128461,0.419740064756074,NA,1.00001800538633,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1306335820138809,0.2412405036414941
Whole-muscle meat,Slope change,-0.610773497238963,-1.52863084341706,0.307083848939136,NA,1.00076316194419,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.0790680616155437,-0.14247893286238245
Ground meat,Level change,4.72562776227425,3.8001311775758,5.6511243469727,NA,1.00407718666784,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,4.253435627224021,5.19781989732448
Ground meat,Slope change,-0.677303242164103,-1.11344123591098,-0.24116524841723,NA,1.03526366395262,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8998226267288352,-0.4547838575993708
Ground meat,Level change,-0.0624325706344136,-0.451170880877027,0.326305739608199,NA,1.0227296744168899,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2607684432071753,0.13590330193834813
Ground meat,Level change,-0.158198501160515,-0.5407998194897,0.224402817168669,NA,1.00171206207193,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.353403255410099,0.037006253089068936
Ground meat,Slope change,0.796246977680528,-0.310400020944807,1.90289397630586,NA,1.03091422924429,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.23163116205535783,1.360862793305698
Ground meat,Slope change,-0.118629328867775,-1.16345988295594,0.926201225220391,NA,1.01359260529123,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6517061421780636,0.41444748444251356
