outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,0.00206155959086,-0.042639287365,0.04380000765,1.002680430447199,1.0002677202806793,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01998928097419102,0.024112400155911023
nonvegan,Exposure: Vegetarian,Form: Proportion,-0.148456564591615,-0.92892937775,0.672068917225,0.8602212989296585,0.9850562233951905,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5568744969831967,0.25996136779996665
meat,Exposure: Vegetarian,Form: Count,-0.01450370595284,-0.05283894899125,0.02227233847,0.9863331407518053,0.9986248353566409,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.03366474867254664,0.004657336766866634
meat,Exposure: Vegetarian,Form: Proportion,-1.03863751196186,-1.8865428634999999,-0.180860103675,0.3500916733281542,0.9003641165782293,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4737606649784416,-0.6035143589452785
chicken_fish,Exposure: Vegetarian,Form: Count,-0.0215320838115841,-0.0606355217830882,0.0143078667342647,0.9791893060602099,0.9978991809775384,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.04065029516805168,-0.0024138724551165183
chicken_fish,Exposure: Vegetarian,Form: Proportion,-1.86944072544017,-2.83241921096029,-0.753497154005882,0.15129615359966145,0.8279093526338765,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.3997779848673146,-1.3391034660130252
vegetarian,Exposure: Vegetarian,Form: Count,0.004099662522,-0.04096587575,0.0483676072,1.0052189751512206,1.0005206758546388,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.018689491291775513,0.02688881633577551
vegetarian,Exposure: Vegetarian,Form: Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.4392154950083071,1.0370807727450193,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.08127324001275715,0.7931646242729572
vegan,Exposure: Vegetarian,Form: Count,0.0147012359365,-0.043251167575,0.061773087175,1.0157495851823108,1.001563906378071,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.012090665785438772,0.041493137658438775
vegan,Exposure: Vegetarian,Form: Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.8642053282279613,0.9855114943372477,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.612044170899914,0.33575229708478
