outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,0.426989879400061,-0.13414925523837845,0.8814460404215054,1.5741698901369015,1.0464179001065825,NA,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.16790944683376408,0.6860703119663579
Chicken,Form: Count,0.0510916819663702,-0.0901555434391667,0.196248002370833,1.0515016532285355,1.005034559861488,NA,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.021970447066793,0.1241538109995334
Dairy,Form: Count,0.0528860786734525,-0.042236479006125,0.17563335875945,1.0493200043063944,1.0048258409860942,NA,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0026929615728676567,0.10846511891977265
Egg,Form: Count,0.0764487260820509,0.0169766121455,0.1341674956395,1.0786704828578684,1.0076016719560812,NA,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.04655309253766315,0.10634435962643865
Ground meat,Form: Count,0.156945518407996,-0.0195680478129167,0.568733923283667,1.1338651043389816,1.0126424730898287,NA,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.006868484964989957,0.307022551851002
Breakfast-style meat,Form: Count,NA,NA,-2.2778938657704875,0.8930955722822258,0.9887575065198897,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,NA,0.9099830918759111,0.9906114244852947,NA,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-1.6098991325397431,NA,-0.5849657518661967,1.2128723658041285,1.0194865724757967,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-2.1862433281261797,NA,-0.8760364081885038,1.1154358980833234,1.010984417386683,NA,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,-2.8922895773067387,0.966614578439913,0.996610214589271,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,NA,NA,-1.8076963083235487,0.8538653080871513,0.9843259550506279,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-0.4729200902737554,-0.8472285815970344,-0.1654833239766345,1.8508112991671815,1.0634968654945391,NA,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6468346968095717,-0.2990054837379391
Breakfast-style meat,Form: Count,-0.30729005059622244,-1.150500572921767,0.18550148404515907,2.057965117377026,1.0748399521234382,NA,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6481069018632954,0.03352680067085051
Breakfast-style meat,Form: Count,-0.391948585642666,NA,1.2419568468118796,1.8746642758303282,1.064859599536781,NA,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Count,-0.39565986831886396,-0.7877442217980347,-0.10756433873740165,1.9594901594988918,1.0695825494733204,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5691751446098418,-0.22214459202788614
Chicken,Form: Count,-3.392048819823047,NA,-2.183541913430389,1.032940182109464,1.0032461856358137,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Chicken,Form: Count,-2.8692695447124654,-4.9684387127534935,-2.1952251831625382,1.057114823613763,1.0055697871677847,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.576721975730566,-2.1952251831625382
Chicken,Form: Count,-2.4806767253376134,NA,-0.8807817336561046,1.0774604180687257,1.0074885809552336,NA,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
