outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,q16,q84,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Vegetarian,Level change,-0.042013034268395,-0.47095850275,0.451652951,0.9462999275777239,NA,NA,Pooled,POOLED,-0.2723459696,0.1995265584,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2723459696,0.1995265584
Vegetarian,Slope change,-0.14774069337122,-0.509499948,0.190376428325,0.8730306062949297,NA,NA,Pooled,POOLED,-0.3235900552,0.0338684168,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3235900552,0.0338684168
Vegan,Level change,0.030111883681505,-0.47262657275,0.5691631528,1.024896503195386,NA,NA,Pooled,POOLED,-0.2188680352,0.2832893452,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2188680352,0.2832893452
Vegan,Slope change,-0.15464700301822,-0.52442478725,0.209830899925,0.8593567325690932,NA,NA,Pooled,POOLED,-0.3378537228,0.02514146592,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3378537228,0.02514146592
Vegetarian,Level change,0.2416408577721,-0.086072036,0.560446504375,1.270023234900006,NA,NA,Restaurant,L69HYJ4Y3TR91,0.0721598348,0.41207729124,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.0721598348,0.41207729124
Vegetarian,Level change,0.024898249196,-0.225531532,0.257934350475,1.029811046075167,NA,NA,Restaurant,ED5J990H5VAZT,-0.0996922228,0.15256332084,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0996922228,0.15256332084
Vegetarian,Level change,-0.0265126104154,-0.26321474925,0.20273816925,0.9729512118858429,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1503064864,0.09855595932,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1503064864,0.09855595932
Vegetarian,Level change,0.0659855110907435,-0.19058928125,0.367684636175,1.0625861883780838,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.0604586044,0.19334561816,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0604586044,0.19334561816
Vegetarian,Level change,0.007592971504403,-0.28732660125,0.3287947225,1.003449957451157,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1371473368,0.14686715476,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1371473368,0.14686715476
Vegetarian,Level change,-0.00851249001706,-0.24821181375,0.242158193475,0.9884618657612816,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.126414526,0.11421729788,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.126414526,0.11421729788
Vegetarian,Level change,0.00367403609605,-0.245862846,0.23732990485,1.0067839927331312,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1251995064,0.12896830264,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1251995064,0.12896830264
Vegetarian,Level change,0.61988750914,-0.3054577225,1.642336545,1.827391700731199,NA,NA,Restaurant,EMBVNVD207CC6,0.103689224,1.11640744,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.103689224,1.11640744
Vegetarian,Level change,-0.1726415276823,-0.95266973725,0.537314467625,0.8541729783013795,NA,NA,Restaurant,C0BE4NDSW26QN,-0.5294029948,0.20658294924,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5294029948,0.20658294924
Vegetarian,Level change,-0.17901358159484,-0.913190055,0.4856316665,0.8553704277843374,NA,NA,Restaurant,C0BE4NDSW26QN,-0.5155094704,0.17138197704,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5155094704,0.17138197704
Vegetarian,Level change,-0.0260195901058,-0.239539276,0.17082940775,0.9758006407108809,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.1350408132,0.08155322344,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1350408132,0.08155322344
Vegetarian,Level change,0.05875400664963,-0.14292445275,0.2742739981,1.052577986219542,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.0439694936,0.16220189088,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0439694936,0.16220189088
Vegetarian,Level change,0.0030477512289,-0.156423117,0.17844570725,1.0019655842330555,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.0840736168,0.0882509364,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0840736168,0.0882509364
Vegetarian,Level change,0.052431863508568,-0.16393394475,0.271362775875,1.0529882495734462,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.05721664656,0.1648421212,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.05721664656,0.1648421212
Vegetarian,Level change,0.0725695136,-0.21609575225,0.372607315,1.077445185741357,NA,NA,Restaurant,LBZEEFSBJNB3Z,-0.0829900644,0.218015806,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0829900644,0.218015806
Vegetarian,Level change,0.0769426011256176,-0.310172605825,0.44600184725,1.0752573034650466,NA,NA,Restaurant,SAFK7ND1HR6XS,-0.1228421372,0.2787537872,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1228421372,0.2787537872
Vegetarian,Level change,-0.172810509787736,-0.361183234775,-9.85010497499998e-4,0.8393433808395756,NA,NA,Restaurant,S8MT0YGD2KTN9,-0.26774788108,-0.07466232024,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.26774788108,-0.07466232024
Vegetarian,Level change,0.02929548363,-0.230796574,0.28643064,1.0287584686954516,NA,NA,Restaurant,1SQPTEGYPH0GA,-0.1019908268,0.1615752868,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1019908268,0.1615752868
Vegetarian,Level change,-0.017536258275,-0.31788590325,0.29986481375,0.9781602427267194,NA,NA,Restaurant,9XKJD8DQTH559,-0.1783958,0.141523862,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1783958,0.141523862
Vegetarian,Level change,-0.04329957377864,-0.391996778,0.284639775,0.9635960909153621,NA,NA,Restaurant,9XKJD8DQTH559,-0.218622086,0.120741466,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.218622086,0.120741466
Vegetarian,Level change,0.13130497140877,-0.49117003075,0.8363297355,1.1291839627669689,NA,NA,Restaurant,LQ5EH4BKGV61T,-0.208530176,0.468797483888,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.208530176,0.468797483888
Vegetarian,Level change,0.0481237033341,-0.076088095925,0.15899241575,1.0486219042702853,NA,NA,Restaurant,78AY09MVJVTYE,-0.0127241522,0.10958996896,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0127241522,0.10958996896
Vegetarian,Slope change,-0.882779782392,-1.6628749725,-0.00733468600000018,0.4149788391713602,NA,NA,Restaurant,L69HYJ4Y3TR91,-1.3020883,-0.4665964764,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-1.3020883,-0.4665964764
Vegetarian,Slope change,-0.343633797656,-0.6833661645,-0.00724725850000004,0.7064142621426757,NA,NA,Restaurant,ED5J990H5VAZT,-0.5163447376,-0.1704444128,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5163447376,-0.1704444128
Vegetarian,Slope change,0.20275814057781,-1.268981085,2.0650843525,1.120492566337623,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.5066590904,0.8939468888,NA,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5066590904,0.8939468888
