outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,0.030850596634466668,-0.099249895,0.18070174999999997,1.0103555292095219,Pooled,POOLED
chicken_fish,mpbamod,Proportion,-0.18047383037216666,-0.6364956999999999,0.27949594999999955,1.0020798810868754,Pooled,POOLED
chicken_fish,vegan,Count,0.1755652085264,-0.12413244999999995,0.4482573499999995,1.0312009483601763,Pooled,POOLED
chicken_fish,vegan,Proportion,0.077973281412,-0.2892103999999999,0.40825394999999937,1.0222835183809937,Pooled,POOLED
chicken_fish,vegetarian,Count,0.19382861002066668,-0.2464828,0.5419895999999998,1.0004088092648649,Pooled,POOLED
chicken_fish,vegetarian,Proportion,-0.18218460085356666,-0.7460592500000001,0.4002744499999997,1.024860369233907,Pooled,POOLED
meat,mpbamod,Count,0.00139216681422,-0.052078715,0.06269293999999997,1.0020330743523618,Pooled,POOLED
meat,mpbamod,Proportion,-0.036598580882733336,-0.24456039999999998,0.20670319999999984,1.000026708504304,Pooled,POOLED
meat,vegan,Count,0.14327814416166668,-0.16164145,0.42051089999999997,1.004832215490452,Pooled,POOLED
meat,vegan,Proportion,0.3137790122576667,-0.36889665,0.9819255499999997,1.0036259135973935,Pooled,POOLED
meat,vegetarian,Count,0.08051606477116667,-0.10661029999999999,0.26852129999999996,1.0010460908021983,Pooled,POOLED
meat,vegetarian,Proportion,0.005393634243666666,-0.35949244999999996,0.3971404999999998,1.0021351687917333,Pooled,POOLED
nonvegan,mpbamod,Count,0.027161262782383334,-0.020292694999999996,0.08261875499999997,1.0042100432067587,Pooled,POOLED
nonvegan,mpbamod,Proportion,-0.03394207009036667,-0.24914999999999998,0.23782409999999993,1.0057052655045462,Pooled,POOLED
nonvegan,vegan,Count,0.21292486879066666,-0.03635575999999999,0.45947504999999983,1.0018615677413762,Pooled,POOLED
nonvegan,vegan,Proportion,0.307913933625,-0.33611494999999997,0.9698179499999998,1.0004674098529736,Pooled,POOLED
nonvegan,vegetarian,Count,0.14205604515633333,-0.07878475,0.3627556999999999,1.0045939329145208,Pooled,POOLED
