outcome,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,0.121239039154156,-0.139319106625,-0.00666283636799999,0.24882360008,0.399004422935,1.1272492156382414,1.0120500581833562,NA,Pooled,POOLED,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.00666283636799999,0.24882360008
Chicken,Form: Count,0.0184036894404563,-0.278291712465,-0.09508903504,0.11769117736,0.3210777357,1.0189147453747036,1.0018755652513416,NA,Pooled,POOLED,finalized_uncontaminated2,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.09508903504,0.11769117736
Dairy,Form: Count,0.0123660909778114,-0.079012229175,-0.025912200616,0.052157781632,0.099408006875,1.0106772220112423,1.001062626487881,NA,Pooled,POOLED,finalized_uncontaminated2,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.025912200616,0.052157781632
Egg,Form: Count,0.0244635404185893,-0.0658586508,-0.011129263568,0.058907545396,0.10843473291325,1.0255741827071674,1.0025284545632303,NA,Pooled,POOLED,finalized_uncontaminated2,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.011129263568,0.058907545396
Ground meat,Form: Count,0.0139621933125093,-0.105565343325,-0.04081408452,0.06870072164,0.136312869525,1.0148094288621572,1.001471165108197,NA,Pooled,POOLED,finalized_uncontaminated2,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.04081408452,0.06870072164
Breakfast-style meat,Form: Count,NA,NA,-0.146335144,0.06161106104,-1.720236975495002,0.9588284177400516,0.9958045119541854,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.720236975495002
Breakfast-style meat,Form: Count,NA,NA,-0.15530005088,-0.0463104008,-5.81895059468641,0.9039795097975449,0.9899559235611736,NA,Restaurant,78AY09MVJVTYE,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-5.81895059468641
Breakfast-style meat,Form: Count,-1.4901585235618422,NA,0.0559376126,0.39113155076,-0.5725725703538429,1.2481001074086562,1.0224096550379338,NA,Restaurant,9XKJD8DQTH559,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-0.5725725703538429
Breakfast-style meat,Form: Count,-2.164165456034446,NA,-0.011431523,0.23657110312,-0.9644738986475364,1.1198798345829244,1.011386476899955,NA,Restaurant,CB2KHY1C2G9PT,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-0.9644738986475364
Breakfast-style meat,Form: Count,NA,NA,-0.06519844756,0.030786413656,-2.573374858569205,0.9849554144030017,0.9984852580414147,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated2,NA,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.573374858569205
