"era","analysis","chains","warmup","sampling","thin","draws","adapt_delta","max_treedepth","seed","metric","algorithm","engine","stepsize_jitter","adapt_engaged","init","gamma","kappa","t0","init_buffer","term_buffer","window","stan"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp8HgyRg/init-100517c66507f_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpWLidoY/init-10054f7888cc94_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmppfFBJP/init-10056948054234_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmphvYClF/init-10057e4ea1cfd7_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpgJSkxk/init-1005c83b3d7d48_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp6eHiQM/init-100605533d7c88_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpwBTDaZ/init-10065715844b80_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpttsTli/init-100690bface56_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpb69qrl/init-1006e06481d179_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpgYoECE/init-10072a5b2732c8_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp778pR6/init-10074a2f920839_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpzXCxwm/init-1007a2596e9bac_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpS20idJ/init-1007c6598d5a61_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpyLti3g/init-10083d8718b65_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp4ZP00z/init-10084f6cfb10bf_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpezxKIr/init-10090c6d56719d_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpWtgm3J/init-10092d364d7a86_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpaC6DLR/init-1009f64da6bcd5_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpNyCtwz/init-c5f785f291741_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpyP1gfx/init-c5f9c65220973_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpPt4Z22/init-c600a4f3bc713_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",3,1500,2000,1,6000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmplF1zd9/init-c60ab7caf0034_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpghsf9j/init-c60db4f71b9ff_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmprpiD7e/init-c60e91ca7154b_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpGFTxvP/init-cf16976fc4df9_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpQ3oCUV/init-cf17510903191_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp5EJ8Yk/init-cf18b6fc44246_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpVv8XD6/init-cf20748d8d9d6_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp2Szqf3/init-cf25036b0e914_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpTLaM2J/init-cf29f57b558c5_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpIrMpLo/init-13e31c417e45_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpcgS25v/init-3bf1079e77f5f_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpxEZFes/init-13e2343a107a_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp0hColR/init-3c05a66686c55_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp0Dr00p/init-e0a678b2bccf_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpS4xofZ/init-3bfff22da92aa_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpFJUTKO/init-3bddc56556cda_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpIX4r1K/init-e40af518417_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpTItYkr/init-3bddd5033fbb6_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpCfcA4U/init-e5061f29f8db_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp1yeA9P/init-158cea45c12269_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpAc97rt/init-158cf34a951ac8_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpx75P0i/init-158d1b1516fc8e_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp2ADbXI/init-158e0e61a3ca60_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpQrQ24a/init-158e146843c5f0_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_uncontaminated","a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpjGtQF4/init-207542273970c_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated","a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpoddnxo/init-bf4e756d3536_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated","a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpEQSGlO/init-5fd37f2dcf84_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpNkmpHE/init-87d5440bb6f2_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpPJ4HH5/init-81fd55c45a20_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpH4ngaw/init-7e8c423f6afa_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpNIo6eT/init-751b44dfb699_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpdw1bPo/init-7b057e79085c_1.json",0.05,0.75,10,75,50,25,"2.36.0"
