Outcome,Exposure_Group,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
Nonvegan,Mpbamod,count,0.9971232293576944,0.7524811161434249,1.2193989885183885,NA,"0.997 [0.752, 1.219]"
Nonvegan,Mpbamod,prop,0.9926825538344449,0.8547350616329299,1.1554721952696163,NA,"0.993 [0.855, 1.155]"
Nonvegan,Vegan,count,0.9818653972822119,0.6004210889537516,1.599487955158658,NA,"0.982 [0.600, 1.599]"
Nonvegan,Vegan,prop,0.986379213942019,0.8453060137368614,1.1307082725604254,NA,"0.986 [0.845, 1.131]"
Nonvegan,Vegetarian,count,0.9990302704918507,0.9211893381257013,1.069535041896306,NA,"0.999 [0.921, 1.070]"
Nonvegan,Vegetarian,prop,0.9758669242205293,0.8703383063896641,1.1119878310854139,NA,"0.976 [0.870, 1.112]"
Meat,Mpbamod,count,0.9850751660607397,0.85009028924315,1.1624233830457622,NA,"0.985 [0.850, 1.162]"
Meat,Mpbamod,prop,1.0298590518359654,0.9014155301070277,1.1749372859357559,NA,"1.030 [0.901, 1.175]"
Meat,Vegan,count,1.0349039805518145,0.6138371279185556,1.5815856967080713,NA,"1.035 [0.614, 1.582]"
Meat,Vegan,prop,0.927591395251976,0.7873862583934562,1.0988892011949123,NA,"0.928 [0.787, 1.099]"
Meat,Vegetarian,count,0.9792014758749269,0.9058427777411985,1.0398493722096847,NA,"0.979 [0.906, 1.040]"
Meat,Vegetarian,prop,0.8574831974024255,0.7599815479573401,0.9862017146996509,NA,"0.857 [0.760, 0.986]"
Chicken Fish,Mpbamod,count,0.9756903082914692,0.8348524490253568,1.1428462913377782,NA,"0.976 [0.835, 1.143]"
Chicken Fish,Mpbamod,prop,1.0121299077815897,0.8381350470385605,1.1955431966865206,NA,"1.012 [0.838, 1.196]"
Chicken Fish,Vegan,count,0.9212070113126827,0.5936577821318823,1.4269360525759285,NA,"0.921 [0.594, 1.427]"
Chicken Fish,Vegan,prop,0.8975156243721826,0.7456395481281985,1.084819626157843,NA,"0.898 [0.746, 1.085]"
Chicken Fish,Vegetarian,count,1.023624336068631,0.8915086178859298,1.2553803005416766,NA,"1.024 [0.892, 1.255]"
Chicken Fish,Vegetarian,prop,0.8442858558195092,0.7057011897938092,1.0410174554960674,NA,"0.844 [0.706, 1.041]"
Vegetarian,Mpbamod,count,1.034076750375152,0.7559853358609907,1.3157144814769262,NA,"1.034 [0.756, 1.316]"
Vegetarian,Mpbamod,prop,0.9679613695418251,0.8103806993768635,1.1656741946675708,NA,"0.968 [0.810, 1.166]"
Vegetarian,Vegan,count,0.9727080433933841,0.6601101212505639,1.486903742203344,NA,"0.973 [0.660, 1.487]"
Vegetarian,Vegan,prop,1.0076347471850262,0.8737476871292459,1.178338095953689,NA,"1.008 [0.874, 1.178]"
Vegetarian,Vegetarian,count,1.024429784511377,0.8954945799859697,1.1230229647354733,NA,"1.024 [0.895, 1.123]"
Vegetarian,Vegetarian,prop,1.1032280243973027,0.9378331094508917,1.2572001085073332,NA,"1.103 [0.938, 1.257]"
Vegan,Mpbamod,count,1.0058101136155368,0.8431705384279655,1.2229174478952374,NA,"1.006 [0.843, 1.223]"
Vegan,Mpbamod,prop,0.9791031298177116,0.8452385673476541,1.1365461549858478,NA,"0.979 [0.845, 1.137]"
Vegan,Vegan,count,0.9315252802661084,0.6332233914575962,1.3930046703221766,NA,"0.932 [0.633, 1.393]"
Vegan,Vegan,prop,1.0669459340048058,0.9024777390065771,1.26251202263343,NA,"1.067 [0.902, 1.263]"
Vegan,Vegetarian,count,1.0050283499312582,0.9264273948992237,1.0929530220176231,NA,"1.005 [0.926, 1.093]"
Vegan,Vegetarian,prop,1.0311822917227522,0.9104395718603676,1.1896432550423128,NA,"1.031 [0.910, 1.190]"
