Outcome,Exposure_Group,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
Total,Mpbamod,count,1.0279563957009032,0.9750325486117088,1.080910445500543,1.65253236270234,"1.028 [0.975, 1.081]"
Total,Mpbamod,prop,0.9692072666427826,0.8736531413864101,1.0910647957584527,1.0046709875783,"0.969 [0.874, 1.091]"
Total,Vegan,count,1.1158678355281584,1.0424117259156651,1.221553903888658,1.11647896969507,"1.116 [1.042, 1.222]"
Total,Vegan,prop,1.103179183918949,1.0314043301256828,1.1808585406571954,1.00113049222929,"1.103 [1.031, 1.181]"
Total,Vegetarian,prop,1.0465598506237006,0.9875407140885611,1.1112431854514273,1.00104700510184,"1.047 [0.988, 1.111]"
Total,Vegetarian,count,1.0399720065373412,1.0130414989353957,1.074019448531453,1.00171523307131,"1.040 [1.013, 1.074]"
Nonvegan,Mpbamod,count,1.0287863067618757,0.9753154473422978,1.091061202724337,1.00056189053564,"1.029 [0.975, 1.091]"
Nonvegan,Mpbamod,prop,0.9689031761477488,0.86663019107285,1.0850792808708538,1.00360910329107,"0.969 [0.867, 1.085]"
Nonvegan,Vegan,count,1.1206467343098714,1.0328457789705434,1.2219558841530687,1.00398620412241,"1.121 [1.033, 1.222]"
Nonvegan,Vegan,prop,1.0914477358567374,1.0155422388356734,1.1643954287034362,1.00273386236915,"1.091 [1.016, 1.164]"
Nonvegan,Vegetarian,count,1.041809345687014,1.0109041450241343,1.0765152080142377,1.00339872863888,"1.042 [1.011, 1.077]"
Nonvegan,Vegetarian,prop,1.030108185817448,0.9768844174929703,1.0824028360005602,1.03252746942009,"1.030 [0.977, 1.082]"
Meat,Mpbamod,count,1.0328336351769407,0.9913781065514479,1.0811132897828024,1.00023192038229,"1.033 [0.991, 1.081]"
Meat,Mpbamod,prop,1.0081590236866258,0.8934396042403318,1.0810032229446105,1.62180190276185,"1.008 [0.893, 1.081]"
Meat,Vegan,count,1.1183122062529574,1.0134850928828056,1.2302225294221658,1.03774088429,"1.118 [1.013, 1.230]"
Meat,Vegan,prop,1.064110205868702,0.9741120346709408,1.1759889783133612,1.00333658072244,"1.064 [0.974, 1.176]"
Meat,Vegetarian,count,1.0261751847052418,1.0049995986346985,1.0508243404569702,1.00164047837956,"1.026 [1.005, 1.051]"
Meat,Vegetarian,prop,0.941069187118719,0.8869356160468647,1.0103033973399567,0.999939242075121,"0.941 [0.887, 1.010]"
Chicken Fish,Mpbamod,count,1.0426940495226362,0.9818189137572294,1.1076378248373213,1.00063852885335,"1.043 [0.982, 1.108]"
Chicken Fish,Mpbamod,prop,0.9707130878072022,0.8572484182801464,1.0923575994344201,1.00312560585915,"0.971 [0.857, 1.092]"
Chicken Fish,Vegan,count,1.0613571315441883,0.9900756287445602,1.1401907622905556,1.00316881478204,"1.061 [0.990, 1.140]"
Chicken Fish,Vegan,prop,1.0048880707795291,0.8934482422795427,1.1314151459530126,1.00278823757493,"1.005 [0.893, 1.131]"
Chicken Fish,Vegetarian,count,1.0177788985045786,0.9833083103174123,1.053214593277146,1.00137997375096,"1.018 [0.983, 1.053]"
Chicken Fish,Vegetarian,prop,0.8691806219234126,0.7922517721948066,0.9694727631520971,1.00540853581113,"0.869 [0.792, 0.969]"
Vegetarian,Mpbamod,count,1.0341485177919285,0.9729406067754313,1.0979317635205073,1.00986550584983,"1.034 [0.973, 1.098]"
Vegetarian,Mpbamod,prop,0.9791574225915133,0.8861940803958529,1.1016682562234936,1.02611729398468,"0.979 [0.886, 1.102]"
Vegetarian,Vegan,count,1.0983786632692067,1.0434192674915328,1.1630999658480625,1.00211710872981,"1.098 [1.043, 1.163]"
Vegetarian,Vegan,prop,1.08944054172143,1.0294867118292232,1.1553880366285831,1.00214940861979,"1.089 [1.029, 1.155]"
Vegetarian,Vegetarian,count,1.0546362281209791,1.0120188073191012,1.0922295545280922,1.04278265808056,"1.055 [1.012, 1.092]"
Vegetarian,Vegetarian,prop,1.0852506780670534,1.013427347920931,1.156344313557347,1.01601935396981,"1.085 [1.013, 1.156]"
Vegan,Mpbamod,count,1.0488931339383643,0.97750859678141,1.1394208989933616,1.0216551946903,"1.049 [0.978, 1.139]"
Vegan,Mpbamod,prop,0.9998052004758917,0.876871122577293,1.157124444111222,1.010702546537,"1.000 [0.877, 1.157]"
Vegan,Vegan,count,1.1375530407652104,1.0542664399503077,1.2448952004148168,1.0050888444834,"1.138 [1.054, 1.245]"
Vegan,Vegan,prop,1.139793379583522,1.0275130134847288,1.250995863594386,1.00467684333929,"1.140 [1.028, 1.251]"
Vegan,Vegetarian,count,1.0547968614504395,1.0067733415182225,1.1064149903075384,1.01591069401392,"1.055 [1.007, 1.106]"
Vegan,Vegetarian,prop,1.0322062482016352,0.9566219377067455,1.11454851095684,1.00386486160666,"1.032 [0.957, 1.115]"
