Outcome,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
breakfast_p,count,0.9190889801655845,0.659563432325777,1.2525933194521117,NA,"0.919 [0.660, 1.253]"
breakfast_p,presence,0.615117387749738,0.1817897978954737,2.3446519570158046,NA,"0.615 [0.182, 2.345]"
chicken_p,count,1.0429157107341338,0.6510023496413329,1.7873759342238464,NA,"1.043 [0.651, 1.787]"
chicken_p,presence,1.132619905962461,0.40498792707956566,3.588440742196474,NA,"1.133 [0.405, 3.588]"
dairy_p,count,1.001873308454032,0.8596442488028042,1.1829648247913451,NA,"1.002 [0.860, 1.183]"
dairy_p,presence,0.7597854835735735,0.2750137943571154,2.401655038104911,NA,"0.760 [0.275, 2.402]"
egg_p,count,1.0319672339429022,0.510762633575068,1.903531063297854,NA,"1.032 [0.511, 1.904]"
egg_p,presence,0.7348887329283003,0.26828698576696103,2.4083644072222863,NA,"0.735 [0.268, 2.408]"
untextured_p,count,1.0780579332908777,0.915172888110993,1.2911167141096818,NA,"1.078 [0.915, 1.291]"
untextured_p,presence,0.8553730537755815,0.31565710838972777,2.746613821986044,NA,"0.855 [0.316, 2.747]"
