Outcome,Effect,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
total,Level,1.1717501197286262,0.8233437228596224,1.7095732090293412,1.00187966896954,"1.172 [0.823, 1.710]"
total,Slope,1.307307835214024,0.9260998814878368,1.9005112767506158,1.00180657546867,"1.307 [0.926, 1.901]"
nonvegan,Level,1.1051387376247952,0.8149886852226818,1.549851474210764,1.00106356145795,"1.105 [0.815, 1.550]"
nonvegan,Slope,1.2974300458007104,0.879337085784653,1.9174303461423476,1.00038859036906,"1.297 [0.879, 1.917]"
meat,Level,0.9762435526986102,0.7889723670499136,1.1521075197099588,1.69921625850374,"0.976 [0.789, 1.152]"
meat,Slope,1.020994420063886,0.8001660144744887,1.739336941938158,1.25259089992189,"1.021 [0.800, 1.739]"
chicken_fish,Level,1.0168122617738213,0.7948393183808957,1.2985775524746206,1.13349842644907,"1.017 [0.795, 1.299]"
chicken_fish,Slope,1.5954758016559603,1.09637618047921,2.33383642999245,1.03796914604619,"1.595 [1.096, 2.334]"
vegetarian,Level,1.0921534069380865,0.873300078214891,1.6144145367410274,1.22097268383495,"1.092 [0.873, 1.614]"
vegetarian,Slope,1.128298222745818,1.0065278234689716,1.2665118855761959,1.01304501188119,"1.128 [1.007, 1.267]"
vegan,Level,1.2295552270924988,0.8352918451899038,1.6195054907147424,1.04002359987779,"1.230 [0.835, 1.620]"
vegan,Slope,1.1113172239393978,0.9983414004989563,1.3405579729269064,1.09873305935545,"1.111 [0.998, 1.341]"
