Outcome,Effect,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
nonvegan,Level,-0.01707885,-0.35734522275,0.2999346725,NA,"-0.017 [-0.357, 0.300]"
nonvegan,Slope,0.0064148,-0.40734145,0.36643775375,NA,"0.006 [-0.407, 0.366]"
meat,Level,0.017890775,-0.2610397325,0.22186940175,NA,"0.018 [-0.261, 0.222]"
meat,Slope,0.11765615,-0.247034669,0.6011882,NA,"0.118 [-0.247, 0.601]"
chicken_fish,Level,0.1040186,-0.262377225,0.303703725,NA,"0.104 [-0.262, 0.304]"
chicken_fish,Slope,-0.193170685,-0.4188112425,0.0805696850000001,NA,"-0.193 [-0.419, 0.081]"
vegan,Level,0.01258502,-0.249207422,0.2190025075,NA,"0.013 [-0.249, 0.219]"
vegan,Slope,-0.047199525,-0.349359015,0.27643169,NA,"-0.047 [-0.349, 0.276]"
vegetarian,Level,-0.0236158,-0.3127071625,0.1687175525,NA,"-0.024 [-0.313, 0.169]"
vegetarian,Slope,-0.09471625,-0.4959276975,0.391881745000001,NA,"-0.095 [-0.496, 0.392]"
