Outcome,Effect,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
nonvegan,Level,-0.0084465263,-0.113587337275,0.0891215549000001,NA,"-0.008 [-0.114, 0.089]"
nonvegan,Slope,-0.0116251765,-0.135054773425,0.107872486125,NA,"-0.012 [-0.135, 0.108]"
meat,Level,-0.02362792135,-0.12200243438,0.069288052175,NA,"-0.024 [-0.122, 0.069]"
meat,Slope,0.0117444899,-0.1068039974,0.13304056,NA,"0.012 [-0.107, 0.133]"
chicken_fish,Level,0.0639502,-0.0860232377,0.14557795025,NA,"0.064 [-0.086, 0.146]"
chicken_fish,Slope,-0.012819615,-0.12711970835,0.1576893895,NA,"-0.013 [-0.127, 0.158]"
vegan,Level,-0.01699655,-0.095078325,0.04884664,NA,"-0.017 [-0.095, 0.049]"
vegan,Slope,-0.028135395,-0.1369705,0.066749755,NA,"-0.028 [-0.137, 0.067]"
vegetarian,Level,-0.024222593,-0.123256344375,0.0834579969000001,NA,"-0.024 [-0.123, 0.083]"
vegetarian,Slope,-0.0155658115,-0.151447419995,0.118428580075,NA,"-0.016 [-0.151, 0.118]"
