path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/base/grid_both.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/grid_both_sorted.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/t1/A1_proportion_forest_restaurants.html,1447.0000,-1.7106,24.2363,25.9469,55.7678,500,OK
/home/godli/testing/forest_plots/base/t1/A2_proportion_targeted_forest_restaurants.html,814.0000,-0.4358,12.5787,13.0146,62.5453,68,OK
/home/godli/testing/forest_plots/base/t1/A3_its_forest_restaurants.html,1658.0000,-3.1930,29.5317,32.7246,50.6652,188,OK
/home/godli/testing/forest_plots/base/t1/A4_its_targeted_forest_restaurants.html,700.0000,-0.7764,8.7593,9.5357,73.4085,40,OK
/home/godli/testing/forest_plots/base/t1/A5_gaussian_iid_day_forest_restaurants.html,2325.0000,1.6880,40.9314,39.2435,59.2455,294,OK
/home/godli/testing/forest_plots/base/t1/A6_gaussian_iid_day_targeted_forest_restaurants.html,895.0000,4.8047,13.5834,8.7787,101.9515,62,OK
/home/godli/testing/forest_plots/base/t1/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/t1/z_A5_transaction_gaussian_iid_forest_restaurants.html,,-0.5250,6.6250,7.1500,55.9441,282,NO_HEIGHT
/home/godli/testing/forest_plots/base/t1_sorted/A1_proportion_forest_restaurants.html,1447.0000,-1.7106,24.2363,25.9469,55.7678,500,OK
/home/godli/testing/forest_plots/base/t1_sorted/A2_proportion_targeted_forest_restaurants.html,814.0000,-0.4358,12.5787,13.0146,62.5453,68,OK
/home/godli/testing/forest_plots/base/t1_sorted/A3_its_forest_restaurants.html,1658.0000,-3.1930,29.5317,32.7246,50.6652,188,OK
/home/godli/testing/forest_plots/base/t1_sorted/A4_its_targeted_forest_restaurants.html,700.0000,-0.7764,8.7593,9.5357,73.4085,40,OK
/home/godli/testing/forest_plots/base/t1_sorted/A5_gaussian_iid_day_forest_restaurants.html,2325.0000,1.6880,40.9314,39.2435,59.2455,294,OK
/home/godli/testing/forest_plots/base/t1_sorted/A6_gaussian_iid_day_targeted_forest_restaurants.html,895.0000,4.8047,13.5834,8.7787,101.9515,62,OK
/home/godli/testing/forest_plots/base/t1_sorted/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/t2/A1_proportion_forest_restaurants.html,3600.0000,-6.2932,113.5328,119.8260,30.0436,1364,OK
/home/godli/testing/forest_plots/base/t2/A2_proportion_targeted_forest_restaurants.html,3600.0000,-7.5240,79.0170,86.5410,41.5988,204,OK
/home/godli/testing/forest_plots/base/t2/A3_its_forest_restaurants.html,3600.0000,-11.5290,148.0883,159.6173,22.5540,516,CRAMPED
/home/godli/testing/forest_plots/base/t2/A4_its_targeted_forest_restaurants.html,2930.0000,-6.5437,57.1212,63.6650,46.0221,152,OK
/home/godli/testing/forest_plots/base/t2/A5_gaussian_iid_day_forest_restaurants.html,3600.0000,0.4275,157.7094,157.2819,22.8888,1254,CRAMPED
/home/godli/testing/forest_plots/base/t2/A6_gaussian_iid_day_targeted_forest_restaurants.html,3040.0000,3.6631,54.6459,50.9828,59.6280,314,OK
/home/godli/testing/forest_plots/base/t2/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/t2/z_A5_transaction_gaussian_iid_forest_restaurants.html,3600.0000,-31.3500,329.2375,360.5875,9.9837,1242,CRAMPED
/home/godli/testing/forest_plots/base/t2_sorted/A1_proportion_forest_restaurants.html,3600.0000,-6.2932,113.5328,119.8260,30.0436,1364,OK
/home/godli/testing/forest_plots/base/t2_sorted/A2_proportion_targeted_forest_restaurants.html,3600.0000,-7.5240,79.0170,86.5410,41.5988,204,OK
/home/godli/testing/forest_plots/base/t2_sorted/A3_its_forest_restaurants.html,3600.0000,-11.5290,148.0883,159.6173,22.5540,516,CRAMPED
/home/godli/testing/forest_plots/base/t2_sorted/A4_its_targeted_forest_restaurants.html,2930.0000,-6.5437,57.1212,63.6650,46.0221,152,OK
/home/godli/testing/forest_plots/base/t2_sorted/A5_gaussian_iid_day_forest_restaurants.html,3600.0000,0.4275,157.7094,157.2819,22.8888,1254,CRAMPED
/home/godli/testing/forest_plots/base/t2_sorted/A6_gaussian_iid_day_targeted_forest_restaurants.html,3040.0000,3.6631,54.6459,50.9828,59.6280,314,OK
/home/godli/testing/forest_plots/base/t2_sorted/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/base/t2_sorted/z_A5_transaction_gaussian_iid_forest_restaurants.html,3600.0000,-31.3500,329.2375,360.5875,9.9837,1242,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/grid_both.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/total_adjusted/grid_both_sorted.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/total_adjusted/t1/A1_proportion_forest_restaurants.html,1236.0000,1.1760,19.7296,18.5536,66.6178,416,OK
